index	mean_abs_asymmetry	median_abs_asymmetry	pairs_ge_0_10	pairs_ge_0_20	max_abs_asymmetry
704	0.12157729167972448	0.13370726495726493	21	3	0.35957792207792216
705	0.11322618849827555	0.10291286107547312	18	4	0.3347485847485849
706	0.1142745280122574	0.10807041869781939	19	6	0.4541666666666667
707	0.123232248172229	0.10506590436167906	20	6	0.3694444444444445
708	0.11409846086676007	0.09443208306844666	18	5	0.26569264069264076
709	0.12904332072465877	0.09920634920634927	18	8	0.3803418803418805
710	0.10000743400898117	0.08573232323232324	16	6	0.24422799422799424
711	0.08695429554637836	0.06506410256410261	13	3	0.38095238095238104
712	0.09755846316745805	0.07662665617211073	14	4	0.3006690279417553
713	0.15617233668743488	0.13575036075036076	24	12	0.43640955004591364
714	0.11613662717082478	0.10974597585513074	20	5	0.33080808080808083
715	0.11194447264256271	0.09375000000000003	17	5	0.25854700854700874
716	0.09611952301346241	0.07943081779509434	13	4	0.2735042735042734
717	0.11768263835325293	0.10055652307572918	18	7	0.32499999999999996
718	0.1283583527034765	0.0952869606918903	17	7	0.4235209235209235
719	0.10237907834605448	0.07016455766455768	13	3	0.4411976911976912
720	0.1081355737218947	0.1034446969306124	19	3	0.3846153846153848
721	0.12321029706726463	0.12160566706021253	19	5	0.41944444444444445
722	0.09510068951890334	0.0769874065328611	16	3	0.28511904761904766
723	0.11617696715994838	0.105275974025974	19	6	0.3388888888888889
724	0.11596511944489962	0.1075396825396826	19	6	0.4486111111111112
725	0.13519515806114188	0.11101239420701647	19	9	0.47750229568411384
726	0.08962382398548639	0.06635031635031635	12	3	0.39485766758494034
727	0.09574879878977188	0.08078449328449328	12	2	0.3480257116620753
728	0.1352275496748395	0.12233915074824167	25	7	0.48376623376623373
729	0.12903785954762267	0.1157910271546636	19	8	0.3168498168498168
730	0.13587085154653442	0.11966199258132673	20	10	0.37083333333333335
731	0.10496292092536226	0.09358255380982661	16	5	0.3482905982905984
732	0.1377460490123209	0.11195100247597045	21	10	0.5940170940170939
733	0.10998835442390716	0.08988095238095245	16	5	0.5256410256410257
734	0.10387514890422488	0.08211123596847036	15	4	0.31775799957618134
735	0.10947185041962039	0.0843872676619156	17	4	0.4041666666666668
736	0.11256364118880123	0.08330135773317593	16	8	0.30699855699855705
737	0.11789671294979659	0.10271382657746295	18	6	0.3632478632478633
738	0.11762065120073013	0.10497835497835503	19	6	0.36914600550964194
739	0.11961425199261308	0.10511363636363638	20	4	0.34159779614325075
740	0.12249073019186124	0.08928540160934531	18	7	0.4375
741	0.088572713564711	0.07726995226995223	14	3	0.251388888888889
742	0.10602345950590722	0.08215742590742586	15	5	0.3722222222222223
743	0.11488237842404508	0.08880286380286381	17	6	0.43162393162393164
744	0.12214611222427058	0.0777694527694528	15	8	0.39383116883116887
745	0.09365952909620218	0.07656787656787656	14	5	0.29220779220779214
746	0.10000968413393722	0.07516315754952108	15	5	0.35858585858585856
747	0.1382995221610245	0.12149177113965853	20	10	0.44660894660894657
748	0.09170564910935165	0.08358366985127547	15	3	0.2833333333333334
