scenario	model	held_out_domain	fold_index	train_n	test_n	test_responders	test_non_responders	selected_features	pseudocount	best_params	inner_group_cv_auc	roc_auc	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss
PRIMARY	ridge	Spencer_US	9	266	97	71	26	500	5.636676092694479e-08	"{""C"": 0.02}"	0.46443193926627857	0.5167930660888408	0.7562116157817542	0.3055116525566504	0.5208559046587216	0.4647887323943662	0.5769230769230769	0.8414378710526179
PRIMARY	random_forest	Frankel_US	1	324	39	24	15	474	5.636676092694479e-08	"{""max_features"": 0.3, ""min_samples_leaf"": 5}"	0.5259439222736028	0.5055555555555555	0.6318352046549118	0.257427831771952	0.5583333333333333	0.5833333333333334	0.5333333333333333	0.7087477316677762
PRIMARY	random_forest	Gopalakrishnan_US	2	338	25	14	11	497	5.636676092694479e-08	"{""max_features"": 0.3, ""min_samples_leaf"": 2}"	0.4959014944481147	0.6948051948051949	0.7270033771084192	0.24139774088939764	0.5097402597402597	0.9285714285714286	0.09090909090909091	0.6767538503193775
PRIMARY	random_forest	Lee_Barcelona	3	351	12	6	6	479	5.636676092694479e-08	"{""max_features"": 0.3, ""min_samples_leaf"": 5}"	0.5643443777558385	0.3888888888888889	0.4864117364117364	0.2778130123153995	0.5833333333333334	1.0	0.16666666666666666	0.7527473767972008
PRIMARY	random_forest	Lee_Leeds	4	345	18	10	8	483	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"	0.5482438195675693	0.48749999999999993	0.5699147992530347	0.25026768057162374	0.5625	1.0	0.125	0.6944977086748563
PRIMARY	random_forest	Lee_Manchester	5	338	25	12	13	483	1.0246076956443401e-07	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"	0.5366279826456163	0.3141025641025641	0.4055061095931334	0.2863099451069438	0.5384615384615384	1.0	0.07692307692307693	0.7730494976164276
PRIMARY	random_forest	Lee_PRIMM_NL	6	308	55	33	22	483	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"	0.48143200028074445	0.6391184573002755	0.7219711878677361	0.2287812486667394	0.5151515151515151	0.9393939393939394	0.09090909090909091	0.6496302545544959
PRIMARY	random_forest	Lee_PRIMM_UK	7	309	54	33	21	469	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}"	0.49933575241582245	0.6017316017316017	0.6996355444008611	0.23511684350831383	0.5627705627705628	0.696969696969697	0.42857142857142855	0.6611669530539046
PRIMARY	random_forest	Matson_US	8	325	38	14	24	489	5.636676092694479e-08	"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5}"	0.5695957875310715	0.27380952380952384	0.28905423979052247	0.31677611863456284	0.39880952380952384	0.7142857142857143	0.08333333333333333	0.8338222138946271
PRIMARY	random_forest	Spencer_US	9	266	97	71	26	500	5.636676092694479e-08	"{""max_features"": 0.3, ""min_samples_leaf"": 5}"	0.5662979849474806	0.6040086673889491	0.7894930119209822	0.2824480957207517	0.5376489707475622	0.2676056338028169	0.8076923076923077	0.7609510027974385
S1_EXCLUDE_BCN12	elastic_net	Frankel_US	1	323	39	24	15	472	5.636676092694479e-08	"{""C"": 0.05, ""l1_ratio"": 0.75}"	0.5752452250336102	0.475	0.6418012645767641	0.268962056677409	0.5166666666666666	0.5	0.5333333333333333	0.7329738581079572
