scenario	model	feature	folds_selected	unique_outer_folds	nonzero_fold_fraction	mean_importance	mean_absolute_importance	median_importance	sign_consistency
S1_EXCLUDE_BCN12	ridge	s__Tyzzerella_nexilis	9	9	1.0	0.32604626350166	0.32604626350166	0.14295905588371705	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB3815_SGB5180	2	2	1.0	0.32514798468455586	0.32514798468455586	0.32514798468455586	1.0
S1_EXCLUDE_BCN12	ridge	s__Phascolarctobacterium_faecium	9	9	1.0	0.3250677744197344	0.3250677744197344	0.30373884126138406	1.0
S1_EXCLUDE_BCN12	ridge	s__Staphylococcus_SGB6340	9	9	1.0	-0.32393535226990955	0.32393535226990955	-0.17968698889488632	1.0
S1_EXCLUDE_BCN12	ridge	s__Blautia_producta	9	9	1.0	-0.32170112234049486	0.32170112234049486	-0.3472774698119101	1.0
S1_EXCLUDE_BCN12	ridge	s__Streptococcus_vestibularis	9	9	1.0	-0.31497633650297674	0.31497633650297674	-0.3075636620325206	1.0
S1_EXCLUDE_BCN12	ridge	s__Streptococcus_SGB14137	1	1	1.0	0.3145676404377335	0.3145676404377335	0.3145676404377335	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB3175_SGB4191	9	9	1.0	-0.31397951061163043	0.31397951061163043	-0.41368543120078594	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB79998_SGB48024	1	1	1.0	0.3131562090698629	0.3131562090698629	0.3131562090698629	1.0
S1_EXCLUDE_BCN12	ridge	s__Collinsella_SGB14861	9	9	1.0	0.3114674570526501	0.3114674570526501	0.3049179353561196	1.0
S1_EXCLUDE_BCN12	ridge	s__Actinomyces_sp_ICM47	9	9	1.0	0.3097918525767201	0.3097918525767201	0.2592865438310466	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9760_SGB15373	9	9	1.0	-0.3085654981429895	0.3085654981429895	-0.3603414520713122	1.0
S1_EXCLUDE_BCN12	ridge	s__Coprobacillus_cateniformis	9	9	1.0	-0.3014618340537947	0.3014618340537947	-0.23598899188695707	1.0
S1_EXCLUDE_BCN12	ridge	s__Phocaeicola_vulgatus	9	9	1.0	0.2993340385849444	0.2993340385849444	0.31467799487202536	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9345_SGB14311	9	9	1.0	0.2991303476831244	0.2991303476831244	0.35686914460483665	1.0
S1_EXCLUDE_BCN12	ridge	s__Clostridium_scindens	9	9	1.0	0.2982324161570908	0.2982324161570908	0.34767709031460803	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB33928_SGB15225	9	9	1.0	-0.29203702646898433	0.29455968263295934	-0.3437299590953897	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__GGB80011_SGB15265	9	9	1.0	0.29228375106125226	0.29228375106125226	0.30055299199506946	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9618_SGB15065	8	8	1.0	-0.2902883323617819	0.2902883323617819	-0.2837476025075879	1.0
S1_EXCLUDE_BCN12	ridge	s__Eisenbergiella_massiliensis	9	9	1.0	0.2875140958375629	0.2875140958375629	0.2185074766620151	1.0
S1_EXCLUDE_BCN12	ridge	s__Actinomyces_graevenitzii	9	9	1.0	-0.28628739881089915	0.28628739881089915	-0.215542175822114	1.0
S1_EXCLUDE_BCN12	ridge	s__Streptococcus_parasanguinis	9	9	1.0	-0.2854427991333536	0.2854427991333536	-0.3387217494293918	1.0
S1_EXCLUDE_BCN12	ridge	s__Faecalibacterium_SGB15346	9	9	1.0	0.2844270601639283	0.2844270601639283	0.3209748822350367	1.0
S1_EXCLUDE_BCN12	ridge	s__Alistipes_onderdonkii	9	9	1.0	-0.28271254120577627	0.28402657916976515	-0.19203614928044116	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__GGB9495_SGB14892	9	9	1.0	-0.2820974865621703	0.2820974865621703	-0.33882128646045995	1.0
S1_EXCLUDE_BCN12	ridge	s__Clostridium_SGB6179	9	9	1.0	0.2818124958280876	0.2818124958280876	0.22308877455343146	1.0
S1_EXCLUDE_BCN12	ridge	s__Parabacteroides_merdae	9	9	1.0	0.27714520181211033	0.27714520181211033	0.28433223856029555	1.0
S1_EXCLUDE_BCN12	ridge	s__Longicatena_caecimuris	9	9	1.0	0.27707626152212095	0.27707626152212095	0.2546875171264898	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB14025_SGB14906	9	9	1.0	0.2766067825368753	0.2766067825368753	0.2373142130811408	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB3061_SGB4063	9	9	1.0	0.2738699851333118	0.2738699851333118	0.24535498155315152	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB3612_SGB4882	9	9	1.0	-0.2736150176052413	0.2736150176052413	-0.21802668227934865	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9636_SGB15107	9	9	1.0	0.27068724597372884	0.27068724597372884	0.2103134350714028	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB45491_SGB63163	9	9	1.0	-0.27023135804600795	0.27023135804600795	-0.1561382093301373	1.0
S1_EXCLUDE_BCN12	ridge	s__Streptococcus_thermophilus	9	9	1.0	0.26925897199217297	0.26925897199217297	0.2657788402947565	1.0
S1_EXCLUDE_BCN12	ridge	s__Bacteroides_finegoldii	9	9	1.0	0.26921996306932766	0.26921996306932766	0.2513306758312275	1.0
S1_EXCLUDE_BCN12	ridge	s__Rheinheimera_SGB14999	9	9	1.0	-0.2690123907414432	0.2690123907414432	-0.18158016145954192	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9759_SGB15370	9	9	1.0	0.26828652052711416	0.26828652052711416	0.23673726708790227	1.0
S1_EXCLUDE_BCN12	ridge	s__Bacteroides_fragilis	9	9	1.0	-0.26802720772130395	0.26802720772130395	-0.17858383867547928	1.0
S1_EXCLUDE_BCN12	ridge	s__Intestinibacter_bartlettii	9	9	1.0	0.26586554984738264	0.26586554984738264	0.24167380972017155	1.0
S1_EXCLUDE_BCN12	ridge	s__Lachnoclostridium_edouardi	6	6	1.0	-0.26535240715775427	0.26535240715775427	-0.2896635231847524	1.0
S1_EXCLUDE_BCN12	ridge	s__Bacteroides_xylanisolvens	9	9	1.0	0.2649418953228627	0.2649418953228627	0.3089018850982211	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9176_SGB14114	9	9	1.0	0.2638482627912289	0.26425848842622135	0.3286708114140764	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__GGB9062_SGB13981	9	9	1.0	-0.2621251005837042	0.2621251005837042	-0.15623321889819058	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9480_SGB14874	9	9	1.0	-0.2612827652096801	0.2612827652096801	-0.3539866662820333	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9559_SGB14969	9	9	1.0	0.2586847113993789	0.2607715433800802	0.28101031233710855	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__Streptococcus_mutans	9	9	1.0	-0.2559198182630691	0.25917821466207647	-0.17312059921560538	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__GGB9762_SGB15377	4	4	1.0	-0.2591753483804456	0.2591753483804456	-0.2040061302037163	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9611_SGB15045	7	7	1.0	-0.25844416044374907	0.25844416044374907	-0.2387602033350164	1.0
S1_EXCLUDE_BCN12	ridge	s__Hungatella_hathewayi	9	9	1.0	-0.2562552615226521	0.2562552615226521	-0.23696495541804533	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB3614_SGB4886	9	9	1.0	0.2558998782924465	0.2558998782924465	0.2998322861048648	1.0
S1_EXCLUDE_BCN12	ridge	s__Clostridium_SGB4648	9	9	1.0	0.25577260758348874	0.25577260758348874	0.22086741519822056	1.0
S1_EXCLUDE_BCN12	ridge	s__Parabacteroides_johnsonii	6	6	1.0	-0.25510857753849986	0.25510857753849986	-0.21237320996528364	1.0
S1_EXCLUDE_BCN12	ridge	s__Lacticaseibacillus_paracasei	9	9	1.0	-0.25393198226249014	0.25393198226249014	-0.20906088241152404	1.0
S1_EXCLUDE_BCN12	ridge	s__Faecalibacillus_faecis	9	9	1.0	0.23673062638971404	0.25391088897619596	0.11840061183724017	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__Massiliimalia_timonensis	9	9	1.0	-0.253815505601802	0.253815505601802	-0.12364667983267731	1.0
S1_EXCLUDE_BCN12	ridge	s__Lactonifactor_sp_BIOML_A6	9	9	1.0	-0.2531238989403735	0.2531238989403735	-0.17051512589359502	1.0
S1_EXCLUDE_BCN12	ridge	s__Ruminococcus_lactaris	9	9	1.0	-0.24826690855688774	0.24826690855688774	-0.14852230593959623	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9293_SGB14250	9	9	1.0	0.2480126443993259	0.2480126443993259	0.19177417918133358	1.0
S1_EXCLUDE_BCN12	ridge	s__Desulfovibrio_piger	9	9	1.0	0.24797591965054636	0.24797591965054636	0.1006784938190099	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9642_SGB15119	9	9	1.0	-0.24770931624620085	0.24770931624620085	-0.20014390294901074	1.0
S1_EXCLUDE_BCN12	ridge	s__Actinomyces_sp_HMSC035G02	8	8	1.0	-0.24565736084676226	0.24565736084676226	-0.14676627299699807	1.0
S1_EXCLUDE_BCN12	ridge	s__Phocaeicola_massiliensis	9	9	1.0	-0.24473803690629758	0.24473803690629758	-0.2854606235826685	1.0
S1_EXCLUDE_BCN12	ridge	s__Ruthenibacterium_lactatiformans	9	9	1.0	0.24384515651263883	0.24384515651263883	0.16308564401130143	1.0
S1_EXCLUDE_BCN12	ridge	s__Actinomyces_SGB17157	8	8	1.0	-0.23947657276313689	0.23947657276313689	-0.10366423017836351	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9474_SGB14868	1	1	1.0	0.23936724331653614	0.23936724331653614	0.23936724331653614	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB1627_SGB2230	4	4	1.0	0.23915644950261017	0.23915644950261017	0.18378859768843112	1.0
S1_EXCLUDE_BCN12	ridge	s__Veillonella_atypica	9	9	1.0	-0.23699567402297747	0.23699567402297747	-0.21643661465941932	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB33512_SGB15203	9	9	1.0	-0.2354271034382212	0.2354271034382212	-0.17172086309283222	1.0
S1_EXCLUDE_BCN12	ridge	s__Bacteroides_thetaiotaomicron	9	9	1.0	0.22695165982626378	0.23464207596613784	0.16961850308925022	0.8888888888888888
S1_EXCLUDE_BCN12	ridge	s__Turicibacter_bilis	9	9	1.0	0.2341625965796203	0.2341625965796203	0.1458339230197204	1.0
S1_EXCLUDE_BCN12	ridge	s__Roseburia_sp_AF02_12	9	9	1.0	-0.23169877524851387	0.23169877524851387	-0.11167909646187132	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB10692_SGB17347	7	7	1.0	0.23108441873368987	0.23108441873368987	0.23735432121658753	1.0
S1_EXCLUDE_BCN12	ridge	s__GGB9770_SGB15390	9	9	1.0	-0.22326664449133368	0.22548628356061304	-0.14081280270522645	0.8888888888888888
