permutation_index	lodo_roc_auc	losfo_roc_auc
253	0.4948235591187425	0.43841929171138183
254	0.45950381920333316	0.46284956757780443
255	0.4369989268354271	0.4324537592323717
256	0.4543905056498958	0.4732340130042295
257	0.4952338867495739	0.5103213180986048
258	0.5086800075752793	0.5180544157565811
259	0.5549207752035856	0.5122782652610315
260	0.5908717883971972	0.5657471119247522
261	0.5415377817057003	0.4866170065021148
262	0.4924247206615744	0.49239315699766434
263	0.4457736254024367	0.42497317088567643
264	0.46408055047029856	0.5045767312669656
265	0.4173347642194306	0.3927466700334575
266	0.4613345117101193	0.48592260589609243
267	0.5116785556467395	0.5003156366391011
268	0.4580518906634682	0.4988005807714159
269	0.48901584495928285	0.5354144309071397
270	0.5387917429455211	0.5244618395303327
271	0.4944132314879111	0.5181175430844013
272	0.4633861498642763	0.4576099993687267
273	0.45836752730256924	0.4731077583485891
274	0.5139195757843571	0.512720156555773
275	0.4490878101129979	0.4646486964206805
276	0.4795151821223408	0.481345874629127
277	0.4516760305536267	0.4607032384319172
278	0.4861119878795531	0.4931191212675967
279	0.4383877280474717	0.43011804810302384
280	0.5383498516507796	0.5573196136607538
281	0.4875323527555078	0.4762009974117795
282	0.5164131052332555	0.4951391957578436
283	0.5383498516507796	0.4807461650148349
284	0.4909412284577994	0.5066599330850324
285	0.492014393030743	0.5052711318729878
286	0.4483302821791554	0.4766428887065211
287	0.39978536708541124	0.4142099614923301
288	0.5163815415693453	0.4850703869705196
289	0.5216526734423332	0.5120257559497507
290	0.4812827473013067	0.4711192475222524
291	0.4303074300864844	0.43807209140837067
292	0.510668518401616	0.5196957262799066
293	0.4086863203080614	0.4122845779938136
294	0.48355533110283444	0.46367022283946724
295	0.50590240515119	0.4989899627548766
296	0.501451928539865	0.48039896471182375
297	0.4656271700018938	0.4544851966416261
298	0.5003156366391011	0.5050186225617069
299	0.4306230667255855	0.4271195000315636
300	0.4840919133893063	0.5096584811564927
301	0.4719714664478253	0.44810933653178464
302	0.4533173410769522	0.46556404267407364
303	0.5463670222839467	0.5191591439934348
304	0.5875260400227259	0.5999621236033079
305	0.49116217410517016	0.5244934031942428
306	0.4623761126191528	0.43649390821286527
307	0.506186478126381	0.48971024556530524
308	0.4651852787071523	0.5021778928097974
309	0.4066978094817247	0.4388611830061233
310	0.48989962754876587	0.5436209835237675
311	0.4601982198093555	0.4304968120699451
312	0.4723817940786567	0.4777476169433748
313	0.5254087494476358	0.5582033962502367
314	0.44204911306104416	0.4445426425099426
315	0.5167918692001768	0.5215264187866928
316	0.4613660753740294	0.4645855690928603
317	0.4582097089830187	0.4817877659238684
318	0.518938198346064	0.49517075942175365
319	0.4074869010794774	0.465974370304905
320	0.5569408496938325	0.5792563600782779
321	0.45297014077394104	0.4743387412410833
322	0.46155545735749004	0.49046777349914783
323	0.4243103339435642	0.42437346127138437
324	0.4903730825074175	0.4703617195884098
325	0.5000946909917303	0.4780001262546556
326	0.5286598068303768	0.5281863518717252
327	0.4970961429202702	0.5486080424215644
328	0.4422384950445048	0.4423331860362351
329	0.5175178334701092	0.5221576920648949
330	0.4854491509374408	0.4547692696168171
331	0.5267344233318603	0.5429581465816551
332	0.4868063884855754	0.520106053910738
333	0.5132567388422448	0.5310270816236349
334	0.4548323969446374	0.47493845085537534
335	0.49753803421501175	0.5468404772425983
336	0.466574079919197	0.44795151821223406
337	0.48466005933968814	0.4894261725901143
338	0.5486080424215642	0.5191591439934348
339	0.47370746796288116	0.5025566567767187
340	0.4912884287608105	0.5075121520106054
341	0.49867432611577556	0.4958335963638659
342	0.4986111987879553	0.4887002083201818
343	0.45773625402436713	0.4821665298907898
344	0.42399469730446304	0.4525913768070197
345	0.47579066978094814	0.4548955242724575
346	0.5678934410706395	0.555331102834417
347	0.4982955621488543	0.4851019506344296
348	0.4592513098920523	0.46449087810113
349	0.5082381162805378	0.4694463733350167
350	0.5353828672432296	0.5382235969951392
351	0.5226311470235465	0.47960987311407116
352	0.4881320623697999	0.4901837005239569
353	0.5445047661132504	0.527807587904804
354	0.5274919512657029	0.5236411842686699
355	0.44230162237232507	0.48162994760431793
356	0.5004418912947415	0.4979167981819329
357	0.4655956063379837	0.48418660438103656
358	0.5415377817057003	0.5589924878479894
359	0.5017360015150559	0.4710245565305221
360	0.45685247143488417	0.49668581528943884
361	0.46152389369357993	0.4761378700839593
362	0.5651789659743703	0.5450729120636324
363	0.4716242661448141	0.4682469541064327
364	0.4886686446562717	0.47336026765986994
365	0.5188119436904236	0.5216842371062432
366	0.5349409759484881	0.5441575658102392
367	0.5123729562527619	0.5329840287860614
368	0.5102266271068745	0.4972539612398207
369	0.48604886055173285	0.4586200366138501
370	0.4537276687077836	0.4692885550154662
371	0.4499715927024809	0.464806514740231
372	0.4490246827851777	0.4734549586516003
