scenario	model	train_domain	test_domain	train_n	test_n	train_responders	train_non_responders	test_responders	test_non_responders	selected_features	pseudocount	locked_params	roc_auc	roc_auc_ci_low	roc_auc_ci_high	roc_auc_bootstrap_valid	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss	train_study_family	test_study_family	same_study_family	train_country	test_country	same_country	train_macro_region	test_macro_region	same_macro_region	train_treatment_scope_group	test_treatment_scope_group	same_treatment_scope_group	known_combination_ici_fraction_difference	absolute_response_rate_difference	log_train_n	log_test_n	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance	train_endpoint_class	test_endpoint_class	same_endpoint_class	endpoint_direction
PRIMARY	elastic_net	Lee_Barcelona	Lee_PRIMM_NL	12	55	6	6	33	22	500	1.0246076956438829e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4380165289256199	0.2815771349862259	0.5833677685950414	500	0.6295010655339067	0.2552743995016467	0.4318181818181817	0.5454545454545454	0.3181818181818182	0.7037626221175213	Lee_2022_family	Lee_2022_family	1	Spain	Netherlands	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.0999999999999999	2.4849066497880004	4.007333185232471	2.2654600312628763	0.7635200611439845	0.6434861265694625	0.0709798666941524	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Lee_Barcelona	Lee_PRIMM_UK	12	54	6	6	33	21	500	1.0246076956438829e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5512265512265513	0.3851370851370851	0.7043290043290044	500	0.6930941871124277	0.2443354464936217	0.5	0.6666666666666666	0.3333333333333333	0.6817523466997345	Lee_2022_family	Lee_2022_family	1	Spain	United_Kingdom	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.1111111111111111	2.4849066497880004	3.9889840465642745	2.1906652798974484	0.6864949908918968	0.594816419606938	0.0732132359116486	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Lee_Barcelona	Matson_US	12	38	6	6	14	24	500	1.0246076956438829e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4553571428571428	0.2589285714285714	0.6744791666666664	500	0.4796595719934398	0.2641581399835484	0.4702380952380952	0.8571428571428571	0.0833333333333333	0.7215539759777864	Lee_2022_family	Matson_2018	0	Spain	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_only	0		0.131578947368421	2.4849066497880004	3.6375861597263857	1.9036925455120648	0.5117333886100498	0.4641582272842964	0.0705275092493137	DCB6_COMPATIBLE	RECIST_ORR_PROGRESSION	0	DCB6 -> RECIST_ORR_PROGRESSION
PRIMARY	elastic_net	Lee_Barcelona	Spencer_US	12	97	6	6	71	26	500	1.0246076956438829e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4875406283856988	0.3575297941495124	0.6190547128927409	500	0.7156434236356329	0.2451256442133065	0.4815817984832069	0.7323943661971831	0.2307692307692307	0.683466552213408	Lee_2022_family	Spencer_2021	0	Spain	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_based_unspecified_mix	0		0.2319587628865979	2.4849066497880004	4.574710978503383	1.391846202645219	0.4289819163420409	0.4015192194367887	0.0595697843856901	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Lee_Leeds	Frankel_US	18	39	10	8	24	15	500	1.0661815682701919e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.3805555555555555	0.2040972222222222	0.5890277777777777	500	0.5362602682750525	0.2649882574430764	0.4416666666666666	0.75	0.1333333333333333	0.7253660050389247	Lee_2022_family	Frankel_2017	0	United_Kingdom	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.0598290598290598	2.8903717578961645	3.6635616461296463	2.0000659164923533	0.4333067456295895	0.3982417665837381	0.0697385506909316	DCB6_COMPATIBLE	RECIST_ORR_PROGRESSION	0	DCB6 -> RECIST_ORR_PROGRESSION
PRIMARY	elastic_net	Lee_Leeds	Gopalakrishnan_US	18	25	10	8	14	11	500	1.0661815682701919e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4805194805194805	0.2433441558441558	0.7272727272727273	500	0.625925380457667	0.2630231248508142	0.448051948051948	0.7142857142857143	0.1818181818181818	0.7196620784144453	Lee_2022_family	Gopalakrishnan_2018	0	United_Kingdom	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_only	0		0.0044444444444444	2.8903717578961645	3.218875824868201	2.0440113218725884	0.6134426055677813	0.5216269539720565	0.0864610733182161	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Lee_Leeds	Lee_Barcelona	18	12	10	8	6	6	500	1.0661815682701919e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.7777777777777779	0.4444444444444445	1.0	500	0.775	0.2186776322585731	0.5833333333333334	0.8333333333333334	0.3333333333333333	0.6300166075370265	Lee_2022_family	Lee_2022_family	1	United_Kingdom	Spain	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.0555555555555555	2.8903717578961645	2.4849066497880004	1.900081845184206	0.5949875337870366	0.5175184809533883	0.0664525069286974	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Lee_Leeds	Lee_Manchester	18	25	10	8	12	13	500	1.0661815682701919e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4935897435897435	0.2499999999999999	0.7533653846153845	500	0.6277324668085539	0.2749481376724133	0.4102564102564102	0.6666666666666666	0.1538461538461538	0.7439721520066227	Lee_2022_family	Lee_2022_family	1	United_Kingdom	United_Kingdom	1	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.0755555555555556	2.8903717578961645	3.218875824868201	1.5545824937549038	0.4716468970562739	0.4330400701509546	0.0555555555555555	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Lee_Leeds	Lee_PRIMM_NL	18	55	10	8	33	22	500	1.0661815682701919e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4504132231404958	0.3008608815426997	0.6172176308539943	500	0.6195960077734268	0.2531613857464658	0.4469696969696969	0.6666666666666666	0.2272727272727272	0.6998376464127706	Lee_2022_family	Lee_2022_family	1	United_Kingdom	Netherlands	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.0444444444444444	2.8903717578961645	4.007333185232471	1.5566246650097413	0.4778931549680615	0.4346803331328011	0.0583719278957374	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
PRIMARY	elastic_net	Lee_Leeds	Lee_PRIMM_UK	18	54	10	8	33	21	500	1.0661815682701919e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5266955266955268	0.3650793650793651	0.70494227994228	500	0.6546598556546986	0.2451547780795451	0.5367965367965368	0.7878787878787878	0.2857142857142857	0.6835968987195182	Lee_2022_family	Lee_2022_family	1	United_Kingdom	United_Kingdom	1	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1		0.0555555555555555	2.8903717578961645	3.9889840465642745	1.4223043524177503	0.4473893542658809	0.4113155539569585	0.0503065423700344	DCB6_COMPATIBLE	DCB6_COMPATIBLE	1	DCB6 -> DCB6
