feature_cap	analysis_set	directed_pairs	mean_roc_auc	median_roc_auc	sd_roc_auc	mean_pr_auc	mean_brier	reciprocal_pairs	mean_abs_delta_auc	median_abs_delta_auc	pairs_ge_0_10	pairs_ge_0_20	max_abs_delta_auc	repeat
10	downsample_sources_to_25_all_targets	56	0.5118524809787443	0.5126670278078729	0.10717403600895782	0.6011869520115619	0.25052065411553476	21	0.09502210257309031	0.06565656565656552	10	2	0.2716450216450217	39
10	downsample_sources_to_25_all_targets	56	0.5033340247237266	0.5	0.07008152959664692	0.5681447996893892	0.25008520023565844	21	0.0324752168953742	0.0	2	0	0.15367965367965364	40
10	downsample_sources_to_25_all_targets	56	0.49878345403656354	0.5	0.09489195366253435	0.5810949395450208	0.25144852631535775	21	0.07754023256584075	0.061111111111111116	8	1	0.2511608110199659	41
10	downsample_sources_to_25_all_targets	56	0.5058914533160578	0.5	0.12582552976464575	0.599693512225361	0.2501786022291578	21	0.1511259353380261	0.15384615384615385	13	7	0.2947330447330448	42
10	downsample_sources_to_25_all_targets	56	0.5005113115194055	0.5	0.10494160746314353	0.5835307791348104	0.25029038037824275	21	0.08690970939919175	0.038239538239538295	8	3	0.3063556162147711	43
10	downsample_sources_to_25_all_targets	56	0.510214529452114	0.5	0.10201458650013241	0.5982899568041135	0.2509400270257257	21	0.06327569372886732	0.04660238751147844	4	1	0.22765116339060004	44
10	downsample_sources_to_25_all_targets	56	0.49792984559809944	0.5	0.107680028664314	0.581430734030173	0.25061474994381994	21	0.08523927620895795	0.07988980716253447	7	2	0.23869047619047623	45
10	downsample_sources_to_25_all_targets	56	0.4812570873257436	0.5	0.08862079881998187	0.565913348005906	0.2531843317378698	21	0.07570278493431043	0.061111111111111116	6	2	0.23076923076923078	46
10	downsample_sources_to_25_all_targets	56	0.49051092800864154	0.5	0.09861720845212921	0.5663520881712683	0.25992540429894057	21	0.0803600331677888	0.061111111111111116	7	2	0.37410359593458187	47
10	downsample_sources_to_25_all_targets	56	0.5150502735982947	0.5	0.11592193926897676	0.6066711318383909	0.2522789137104697	21	0.08604749589407537	0.0655909746818838	8	2	0.2435897435897436	48
10	downsample_sources_to_25_all_targets	56	0.5056882661326083	0.5	0.09051929871424685	0.5984413918329619	0.25049785174703293	21	0.07358735316367475	0.0641025641025641	5	0	0.18073593073593075	49
10	downsample_sources_to_25_all_targets	56	0.5232541686701303	0.5232683982683983	0.11269196944819451	0.6162996937420843	0.2506614962315707	21	0.09251728318629727	0.08622891193313731	6	2	0.29761904761904767	50
10	downsample_sources_to_25_all_targets	56	0.48318785846366097	0.5	0.10626739923847592	0.5827082360852938	0.25180175447002207	21	0.0875984664076854	0.07051282051282048	8	1	0.20903665974088526	51
10	downsample_sources_to_25_all_targets	56	0.499314573410427	0.5	0.09940477052701603	0.5817239809284358	0.2512249535863814	21	0.09317607930992786	0.08683261183261182	10	1	0.3141025641025641	52
10	downsample_sources_to_25_all_targets	56	0.5056178571469179	0.5	0.11862319355405361	0.5919180957844709	0.25009584872741153	21	0.09173955892220022	0.08970450519746298	10	2	0.2290568195497772	53
10	downsample_sources_to_25_all_targets	56	0.4948826655467066	0.5	0.09424925575915923	0.5795532996460688	0.25240906547686104	21	0.07320662810419531	0.08058000471572802	5	1	0.21111111111111114	54
10	downsample_sources_to_25_all_targets	56	0.5019842190326745	0.5	0.07785693072785033	0.5661844253604036	0.2501114189114738	21	0.046950234515398225	0.0	4	0	0.16955266955266957	55
10	downsample_sources_to_25_all_targets	56	0.49172996313738493	0.5	0.12912547046639272	0.5908181926604804	0.2520058430222269	21	0.08995696048695867	0.0725893824485373	7	2	0.32539682539682535	56
10	downsample_sources_to_25_all_targets	56	0.5042231841417582	0.5	0.11556691724354005	0.5930570039707358	0.2496064643799003	21	0.08417006100722033	0.06670602125147573	8	2	0.2803815902407451	57
10	downsample_sources_to_25_all_targets	56	0.5047515124285404	0.5	0.11996374376686975	0.6034155783963627	0.2508807616257445	21	0.11676687123687308	0.09163059163059162	10	3	0.33372687918142463	58
10	downsample_sources_to_25_all_targets	56	0.5037356700033042	0.5	0.10699320602324144	0.589961931595292	0.25016338731753335	21	0.08762566692532851	0.10277777777777775	11	0	0.17307692307692302	59
10	downsample_sources_to_25_all_targets	56	0.5047247796776217	0.5	0.09994534352342643	0.5783694062320619	0.25070854980436785	21	0.040019563270432115	0.030303030303030276	1	1	0.20895301881217365	60
10	downsample_sources_to_25_all_targets	56	0.49901477294071495	0.5	0.09916222725824218	0.5781878011291272	0.251389555206838	21	0.07474976626933824	0.05128205128205132	6	3	0.26282051282051283	61
10	downsample_sources_to_25_all_targets	56	0.49149853373690716	0.5	0.1017471690494236	0.5850076871421738	0.2503053275339739	21	0.0750580913101491	0.06427915518824612	4	1	0.36479717465632955	62
10	downsample_sources_to_25_all_targets	56	0.5084243829407996	0.5	0.1217317650710373	0.5961912998086863	0.2504418878612129	21	0.10274507501048566	0.10566706021251471	11	2	0.25555555555555565	63
10	downsample_sources_to_25_all_targets	56	0.4975609697442112	0.5	0.10504060296511498	0.5958981125110646	0.2514769206715956	21	0.09308212065322914	0.0749278499278499	9	1	0.3128491227082776	64
10	downsample_sources_to_25_all_targets	56	0.5031867926357021	0.5	0.10737567843833236	0.5899192050944777	0.2512652070733907	21	0.07831341676229184	0.061111111111111116	8	0	0.1972222222222222	65
10	downsample_sources_to_25_all_targets	56	0.49009145368837614	0.5	0.12473555715871913	0.5940679734512949	0.25025110299398545	21	0.12084104483272219	0.1217948717948718	13	4	0.2846320346320347	66
10	downsample_sources_to_25_all_targets	56	0.49277790103368574	0.5	0.10142205380494781	0.5836949240098119	0.2504821792534239	21	0.08252727827220238	0.07499999999999996	6	1	0.30854034463189395	67
10	downsample_sources_to_25_all_targets	56	0.5138530264226201	0.5041322314049587	0.11337163729651416	0.605407906066136	0.2498686795360948	21	0.08538556958051195	0.059163059163059084	9	1	0.2131583694083694	68
10	downsample_sources_to_25_all_targets	56	0.5143231896081379	0.5046780470916195	0.11008831957512154	0.603055842781087	0.2504449137918953	21	0.0779908848273582	0.031565656565656575	7	3	0.26312229437229445	69
10	downsample_sources_to_25_all_targets	56	0.5143238861981717	0.515625	0.11696239253648792	0.6079864331985724	0.24984126195059292	21	0.08623220311417676	0.08982683982683987	7	0	0.18710317460317455	70
10	downsample_sources_to_25_all_targets	56	0.48896141324632725	0.5	0.09524186143825704	0.5783474384597612	0.2509201833705486	21	0.07170111575178341	0.051226551226551176	7	0	0.19871794871794868	71
10	downsample_sources_to_25_all_targets	56	0.49860086241028145	0.5	0.10013118775860672	0.5838283341723661	0.25024149007097707	21	0.06128290905248102	0.05555555555555547	4	1	0.23717948717948723	72
10	downsample_sources_to_25_all_targets	56	0.49008495001355573	0.5	0.08371105768298973	0.5752630896378952	0.2500801903401429	21	0.04447969134497396	0.02564102564102566	3	0	0.19029561987308463	73
10	downsample_sources_to_25_all_targets	56	0.4982960817699363	0.5	0.08767208180407728	0.5740160310099806	0.2511855275802129	21	0.0581036535902093	0.038239538239538295	6	1	0.2243589743589744	74
10	downsample_sources_to_25_all_targets	56	0.5098386666962897	0.5	0.09970824226740528	0.5906021518518241	0.2503544307753618	21	0.06999482320956622	0.04132231404958675	6	2	0.2435897435897436	75
10	downsample_sources_to_25_all_targets	56	0.5022570254052899	0.5	0.09474477645988567	0.5871760656923425	0.25017163502100975	21	0.07038898045162909	0.05787287829541354	6	0	0.19303423848878404	76
10	downsample_sources_to_25_all_targets	56	0.4930934836496045	0.5	0.11189557835665725	0.5816325544026586	0.2515292001340246	21	0.09347715683228762	0.0725893824485373	8	2	0.22435897435897434	77
10	downsample_sources_to_25_all_targets	56	0.49082897789998353	0.5	0.11781656278901251	0.591750920637517	0.2540695917240736	21	0.09357893180602161	0.08785727183614511	9	1	0.2437770562770563	78
10	downsample_sources_to_25_all_targets	56	0.5108533145842228	0.5	0.09453632237327284	0.5856149666386701	0.2516182221279349	21	0.06356514905536305	0.038239538239538295	5	1	0.26960394847718794	79
10	downsample_sources_to_25_all_targets	56	0.4966374550418587	0.5	0.10545636768845192	0.5904475631293623	0.2513613086184718	21	0.07691308066971135	0.08333333333333337	5	1	0.23656554712892747	80
10	downsample_sources_to_25_all_targets	56	0.5051338770191661	0.5	0.11509171610209715	0.5899887564130434	0.25056208079546244	21	0.08894504339904008	0.0714285714285714	7	1	0.32863849765258213	81
10	downsample_sources_to_25_all_targets	56	0.5158025264182091	0.5	0.11488678439892255	0.593682889292598	0.24912072338316202	21	0.05494356448718988	0.058507149416240356	4	0	0.16999197985113468	82
10	downsample_sources_to_25_all_targets	56	0.49987916647733505	0.5	0.11122302926985835	0.5871536315289686	0.2508392061773002	21	0.1000872651320795	0.10897435897435903	11	2	0.2346681096681097	83
10	downsample_sources_to_25_all_targets	56	0.49872813633331287	0.5	0.10721632383588843	0.5919740824979609	0.2504706895111615	21	0.0934890272826984	0.08913813459268011	10	2	0.29336860322775804	84
10	downsample_sources_to_25_all_targets	56	0.5031417937284958	0.5	0.11153452816181329	0.5880372548439349	0.2509993426044224	21	0.10065790906517082	0.09856340842256328	10	2	0.2425482381468297	85
10	downsample_sources_to_25_all_targets	56	0.5106583207684131	0.5104354139245304	0.1143557798588148	0.6044380310541341	0.2511063857878285	21	0.10478636627347065	0.09127804014167645	9	1	0.2391774891774892	86
