feature_cap	train_domain	test_domain	train_n	test_n	train_responders	test_responders	selected_features	pseudocount	roc_auc	pr_auc	brier
10	Lee_Manchester	Lee_PRIMM_NL	25	55	12	33	10	5.636676092699121e-08	0.5	0.6	0.2521538977247838
10	Lee_Manchester	Lee_PRIMM_UK	25	54	12	33	10	5.636676092699121e-08	0.5	0.6111111111111112	0.2523815581124763
10	Lee_Manchester	Matson_US	25	38	12	14	10	5.636676092699121e-08	0.5	0.3684210526315789	0.24740897596024636
10	Lee_Manchester	Spencer_US	25	97	12	71	10	5.636676092699121e-08	0.5	0.7319587628865979	0.2548576582054199
10	Lee_PRIMM_NL	Frankel_US	55	39	33	24	10	2.1269490829764473e-07	0.47500000000000003	0.6347022133784409	0.24571740299284606
10	Lee_PRIMM_NL	Gopalakrishnan_US	55	25	33	14	10	2.1269490829764473e-07	0.6688311688311688	0.7137248395861842	0.24396061683318077
10	Lee_PRIMM_NL	Lee_Barcelona	55	12	33	6	10	2.1269490829764473e-07	0.611111111111111	0.7186868686868686	0.24094346715322687
10	Lee_PRIMM_NL	Lee_Leeds	55	18	33	10	10	2.1269490829764473e-07	0.39999999999999997	0.5388186731569085	0.2610234798009367
10	Lee_PRIMM_NL	Lee_Manchester	55	25	33	12	10	2.1269490829764473e-07	0.608974358974359	0.5960809152720918	0.24404781675791054
10	Lee_PRIMM_NL	Lee_PRIMM_UK	55	54	33	33	10	2.1269490829764473e-07	0.5382395382395384	0.6575491813671903	0.2421799819869667
10	Lee_PRIMM_NL	Matson_US	55	38	33	14	10	2.1269490829764473e-07	0.5327380952380952	0.4507762646312035	0.2661644227514172
10	Lee_PRIMM_NL	Spencer_US	55	97	33	71	10	2.1269490829764473e-07	0.4650595882990249	0.728670554449773	0.23411153436142218
10	Lee_PRIMM_UK	Frankel_US	54	39	33	24	10	1.0701941407104337e-07	0.5	0.6153846153846154	0.25015028232035635
10	Lee_PRIMM_UK	Gopalakrishnan_US	54	25	33	14	10	1.0701941407104337e-07	0.5	0.56	0.25007834922983696
10	Lee_PRIMM_UK	Lee_Barcelona	54	12	33	6	10	1.0701941407104337e-07	0.5	0.5	0.2500004217151078
10	Lee_PRIMM_UK	Lee_Leeds	54	18	33	10	10	1.0701941407104337e-07	0.5	0.5555555555555556	0.2500725768213385
10	Lee_PRIMM_UK	Lee_Manchester	54	25	33	12	10	1.0701941407104337e-07	0.5	0.48	0.24997444587686474
10	Lee_PRIMM_UK	Lee_PRIMM_NL	54	55	33	33	10	1.0701941407104337e-07	0.5	0.6	0.25013030090632316
10	Lee_PRIMM_UK	Matson_US	54	38	33	14	10	1.0701941407104337e-07	0.5	0.3684210526315789	0.24982952804245612
10	Lee_PRIMM_UK	Spencer_US	54	97	33	71	10	1.0701941407104337e-07	0.5	0.7319587628865979	0.25030168788029794
10	Matson_US	Frankel_US	38	39	14	24	10	1.0642079206855303e-07	0.49166666666666664	0.6389303827288394	0.25459522732630335
10	Matson_US	Gopalakrishnan_US	38	25	14	14	10	1.0642079206855303e-07	0.487012987012987	0.6051735111293934	0.2568577423738665
10	Matson_US	Lee_Barcelona	38	12	14	6	10	1.0642079206855303e-07	0.5833333333333334	0.6446127946127946	0.2398980419080963
10	Matson_US	Lee_Leeds	38	18	14	10	10	1.0642079206855303e-07	0.5375	0.5651330532212885	0.2507230400080065
10	Matson_US	Lee_Manchester	38	25	14	12	10	1.0642079206855303e-07	0.7051282051282051	0.6415195786325817	0.23941688985652956
10	Matson_US	Lee_PRIMM_NL	38	55	14	33	10	1.0642079206855303e-07	0.4400826446280992	0.5701217212031594	0.253822810215155
10	Matson_US	Lee_PRIMM_UK	38	54	14	33	10	1.0642079206855303e-07	0.6233766233766234	0.7133189107236437	0.24752003593381905
10	Matson_US	Spencer_US	38	97	14	71	10	1.0642079206855303e-07	0.6218851570964247	0.8078194809457304	0.2529458257058543
10	Spencer_US	Frankel_US	97	39	71	24	10	5.144767586148716e-07	0.32222222222222224	0.5249358592763618	0.2685540513643586
10	Spencer_US	Gopalakrishnan_US	97	25	71	14	10	5.144767586148716e-07	0.4675324675324676	0.5891573385206925	0.2672775965758156
10	Spencer_US	Lee_Barcelona	97	12	71	6	10	5.144767586148716e-07	0.6944444444444444	0.798611111111111	0.2280431775004641
10	Spencer_US	Lee_Leeds	97	18	71	10	10	5.144767586148716e-07	0.5125000000000001	0.597675886205298	0.26358379301440515
10	Spencer_US	Lee_Manchester	97	25	71	12	10	5.144767586148716e-07	0.3974358974358974	0.4259374622961579	0.26575681616196273
10	Spencer_US	Lee_PRIMM_NL	97	55	71	33	10	5.144767586148716e-07	0.4641873278236915	0.595953604677097	0.2667046294410779
10	Spencer_US	Lee_PRIMM_UK	97	54	71	33	10	5.144767586148716e-07	0.5468975468975469	0.6449458129034633	0.2653856837440742
10	Spencer_US	Matson_US	97	38	71	14	10	5.144767586148716e-07	0.6309523809523809	0.5139255613059047	0.2362623832019902
25	Frankel_US	Gopalakrishnan_US	39	25	24	14	25	1.6488298996136508e-07	0.6168831168831169	0.7003749226963512	0.2425467779904446
25	Frankel_US	Lee_Barcelona	39	12	24	6	25	1.6488298996136508e-07	0.5833333333333334	0.5847582972582973	0.24661075370442911
25	Frankel_US	Lee_Leeds	39	18	24	10	25	1.6488298996136508e-07	0.4875	0.648350122100122	0.25249303600814893
25	Frankel_US	Lee_Manchester	39	25	24	12	25	1.6488298996136508e-07	0.47435897435897434	0.5412990725784339	0.2550176027387756
25	Frankel_US	Lee_PRIMM_NL	39	55	24	33	25	1.6488298996136508e-07	0.45385674931129477	0.5831462063818702	0.26068148241982947
25	Frankel_US	Lee_PRIMM_UK	39	54	24	33	25	1.6488298996136508e-07	0.5223665223665224	0.6747299693734703	0.2559965031795929
