layer	feature	k	pooled_effect	se	ci_low	ci_high	p_value	tau2	Q	Q_p	I2	prediction_low	prediction_high	positive_studies	negative_studies	sign_consistency	minimum_effect	maximum_effect	median_effect	significant_positive_studies	significant_negative_studies	study_list	fdr_q
pathway	PWY-6123: inosine-5'-phosphate biosynthesis I	5	-0.11594943590419758	0.13167605881067174	-0.4815407848608239	0.24964191305242872	0.42828128843830765	4.192249041781621e-11	4.646549399851598	0.3255223852766524	13.914613710385773	-0.5350014232671472	0.30310255145875203	1	4	0.8	-0.40071324771324685	0.5352774319694396	-0.3531754267871758	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	PWY-6124: inosine-5'-phosphate biosynthesis II	5	-0.1255745558964367	0.1324032521019175	-0.493184917107075	0.24203580531420157	0.3966181056832536	4.204306744952506e-11	4.6961650371746435	0.31991667134843615	14.824117799605222	-0.5469407968610053	0.2957916850681318	1	4	0.8	-0.4255233190479831	0.5270166437477978	-0.3700668142826239	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	5	-0.15047884325308927	0.12215011507991551	-0.4896219323660679	0.1886642458598893	0.2854473503645208	4.1505114799751644e-11	3.9002303029833976	0.4196765650867531	0.0	-0.5392150262198242	0.23825733971364568	1	4	0.8	-0.5484331601040835	0.36286764524205667	-0.2871331095212639	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	5	-0.11331491217615604	0.12200745573343755	-0.45206191544489516	0.2254320910925831	0.40558782669046006	4.13748835989062e-11	3.3157485888967706	0.5064409084373688	0.0	-0.5015970894317118	0.2749672650793997	1	4	0.8	-0.38404233564355156	0.4560465503523911	-0.1979943766073392	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	5	-0.2428048794698705	0.17245330433850145	-0.7216120121756883	0.23600225323594726	0.23191186409765527	0.028709594960580263	5.822205904538412	0.2128253222472883	31.29751737426534	-1.0122052056648716	0.5265954467251307	1	4	0.8	-0.7255031530835706	0.43103810608100357	-0.5186744218624542	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
pathway	PWY-6151: S-adenosyl-L-methionine cycle I	5	-0.0542526368752166	0.18288713469748807	-0.562028726809707	0.4535234530592737	0.7815026679531578	0.04227252546007581	6.1684423967448705	0.1869170885194373	35.15380800004183	-0.9299762206777133	0.8214709469272801	1	4	0.8	-0.5156454478813913	0.6987747216670201	-0.0850660437723608	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	PWY-6163: chorismate biosynthesis from 3-dehydroquinate	5	-0.06167576650979196	0.1657333893305171	-0.5218254240843464	0.39847389106476244	0.7286664550355585	0.023722281009004385	5.612449356111358	0.23002049201063593	28.72986914983158	-0.781709692589128	0.658358159569544	1	4	0.8	-0.4122607879455007	0.6732467357988323	-0.14309470415120012	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	PWY-6167: flavin biosynthesis II (archaea)	5	-0.037934428558952245	0.1217445709553929	-0.3759515466724583	0.3000826895545538	0.7709167044624882	4.10804663415601e-11	1.7895422173656146	0.7743951047242775	0.0	-0.42537998912122155	0.34951113200331707	2	3	0.6	-0.5382111497928256	0.04227780267060771	-0.10289876089347205	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	PWY-6168: flavin biosynthesis III (fungi)	5	-0.05602077422210367	0.1704416266260841	-0.5292425941900447	0.4172010457458374	0.7588850529584987	0.03004103375852857	5.723189195248559	0.22079637301857605	30.10889796687423	-0.8296327032669245	0.7175911548227171	1	4	0.8	-0.4554415344759786	0.662204218902622	-0.07515220606475963	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	PWY-621: sucrose degradation III (sucrose invertase)	5	0.03416066778491728	0.1904635750102918	-0.49465099277088015	0.5629723283407148	0.866377408966553	0.06743941345009048	6.514360623195666	0.16388779385095473	38.59719730962988	-0.9907441111650328	1.0590654467348675	3	2	0.6	-0.4225854434256416	0.8062191821949687	0.013693460515141401	1	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	PWY-622: starch biosynthesis	5	0.02944629641525413	0.12193647150918713	-0.30910362305151867	0.36799621588202697	0.8210506556288795	4.3166532930763697e-11	3.468048645163668	0.4827532198033806	0.0	-0.35860997738179684	0.41750257021230514	2	3	0.6	-0.5007755737332892	0.2589377404958654	-0.04240937715166035	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	PWY-6270: isoprene biosynthesis I	5	0.017035554619212002	0.1296183528324857	-0.3428426866463435	0.37691379588476753	0.9017816953101359	4.488268986778653e-11	4.5112048215457685	0.3412209447143615	11.331891185791996	-0.3954678940004818	0.42953900323890587	2	3	0.6	-0.6516539937636636	0.3774497448486361	-0.10350369283754202	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.9826175815195255
pathway	PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	5	-0.09607734921033959	0.12832258036008287	-0.4523579493374422	0.260203250916763	0.4956520977010733	4.1885824233165603e-11	4.417160935535711	0.35248336465410557	9.444096369224049	-0.5044570714811488	0.3123023730604696	1	4	0.8	-0.37405785533128105	0.5655459221635876	-0.22115031647622588	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116
