layer	feature	k	pooled_effect	se	ci_low	ci_high	p_value	tau2	Q	Q_p	I2	prediction_low	prediction_high	positive_studies	negative_studies	sign_consistency	minimum_effect	maximum_effect	median_effect	significant_positive_studies	significant_negative_studies	study_list	fdr_q	classification	dominant_study_absolute_effect_share	any_leave_one_study_sign_flip	functional_category
pathway	PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	5	-0.17608300118006978	0.1220730205760869	-0.5150120416352558	0.16284603927511623	0.22264403469468713	4.0795891789469504e-11	2.722447231298691	0.6052923891963655	0.0	-0.5645738350190345	0.21240783265889493	1	4	0.8	-0.3955051285573441	0.3455017112828613	-0.20522762670796882	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3079757421945844	0	Lipid
pathway	PENTOSE-P-PWY: pentose phosphate pathway	5	-0.17599545466261038	0.12215935312569715	-0.515164192702581	0.16317328337736023	0.2231014927596188	4.072652508233674e-11	3.4590483705278774	0.4841323872120554	0.0	-0.5647610372038285	0.2127701278786078	1	4	0.8	-0.5516495937899099	0.3123566152531497	-0.17205231402889598	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3510029163606544	0	Carbohydrate
pathway	PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	5	-0.2428048794698705	0.17245330433850145	-0.7216120121756883	0.23600225323594726	0.23191186409765527	0.028709594960580263	5.822205904538412	0.2128253222472883	31.29751737426534	-1.0122052056648716	0.5265954467251307	1	4	0.8	-0.7255031530835706	0.43103810608100357	-0.5186744218624542	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.30348166348662625	0	Other
pathway	PWY66-409: superpathway of purine nucleotide salvage	5	0.1697952450099183	0.12203967644161923	-0.1690412172863379	0.5086317073061745	0.23651742477118537	4.19459152848054e-11	2.4602167912345774	0.651773478245016	0.0	-0.2185894729266468	0.5581799629464834	3	2	0.6	-0.35651960864171556	0.48177883039724073	0.20204958247722524	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	OTHER_OR_INSUFFICIENT	0.3666404668950548	0	Nucleotide
pathway	PWY-2723: trehalose degradation V	5	-0.1767960734787529	0.12826598017862167	-0.5329195263090842	0.17932737935157847	0.2401676044465194	4.084329427483227e-11	4.400286141543302	0.35453523219488164	9.096820721820388	-0.5849956686984884	0.23140352174098264	1	4	0.8	-0.7145689979447128	0.17650199140401554	-0.12406213408829857	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.40654823488386704	0	Other
pathway	CITRULBIO-PWY: L-citrulline biosynthesis	5	-0.17040755307889377	0.12553722856754784	-0.5189547768553586	0.17813967069757103	0.24618153685388464	4.125501597432026e-11	4.219107280688501	0.37716427321907225	5.19321425391074	-0.5699230428321628	0.22910793667437523	2	3	0.6	-0.441390782080656	0.37085842297666877	-0.2322753905499393	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	OTHER_OR_INSUFFICIENT	0.2576425347377063	0	Other
pathway	PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	5	-0.16275209053253395	0.12194151648264219	-0.5013160170911619	0.175811836026094	0.25288771917652747	4.073985875456886e-11	1.9080628519001617	0.7526636811172387	0.0	-0.5508244196550282	0.22532023858996023	1	4	0.8	-0.3949056669442297	0.23605824236073344	-0.0794168113881451	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3973902096173478	0	Other
pathway	PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	5	-0.1627443147011133	0.12194147481096063	-0.501308125560605	0.17581949615837836	0.25290662655278584	4.073985875456886e-11	1.9078778925824755	0.7526976653404456	0.0	-0.5508165112057186	0.22532788180349203	1	4	0.8	-0.3949307651149786	0.236028220335071	-0.0794168113881451	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.39742703930286755	0	Other
pathway	PWY-6901: superpathway of glucose and xylose degradation	5	-0.16290791633251664	0.12213429757915702	-0.5020070890229379	0.17619125635790459	0.25313595410216516	4.089971616821744e-11	3.576604992740341	0.46632637711077174	0.0	-0.5515937609445866	0.22577792827955326	1	4	0.8	-0.5752094517766625	0.26913277411421543	-0.1452857151158565	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3589173395179673	0	Carbohydrate
pathway	PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	5	-0.23120269751821607	0.17410742377854396	-0.7146024020467524	0.2521970070103202	0.25490896203032437	0.031516475050343634	5.856516985184552	0.21012298085017955	31.700018797538736	-1.0225374738263504	0.5601320787899183	1	4	0.8	-0.7107927892437125	0.4385664562817266	-0.5115465079903169	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.3018410068337799	0	Other
pathway	PWY0-1297: superpathway of purine deoxyribonucleosides degradation	5	0.16110039065841375	0.12197149672716454	-0.1775467744033709	0.4997475557201984	0.2570629692008825	4.1040614978320476e-11	2.0250620668178323	0.7311490926685894	0.0	-0.227067348986285	0.5492681303031125	5	0	1.0	0.02418554361944969	0.5872373758408052	0.18810490691414378	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.4731438856265291	0	Nucleotide
pathway	ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	5	-0.18185819861580543	0.13927327582908322	-0.5685428035763257	0.20482640634471483	0.26166586679691445	4.1669615465615844e-11	5.180511675673905	0.2692722380310887	22.78754975531136	-0.6250879211789131	0.2613715239473023	2	3	0.6	-0.7056640399460359	0.3148209346496989	-0.21082702243546844	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	OTHER_OR_INSUFFICIENT	0.3529075848818394	0	Amino acid
pathway	PWY66-400: glycolysis VI (metazoan)	5	-0.1573410589862778	0.12198688126764876	-0.4960309383801855	0.18134882040762998	0.2666337748825164	4.2102166316539116e-11	2.3781677419604756	0.666576252585737	0.0	-0.5455577591187787	0.23087564114622308	1	4	0.8	-0.46114597948434993	0.14626789977064064	-0.3780703601781556	0	0	FrankelAE_2017;LeeKA_2022;MatsonV_2018;PetersBA_2019;WindTT_2020	0.941640018265116	CONSISTENT_NONSIGNIFICANT	0.30407241370725013	0	Carbohydrate
