layer	feature	study	n	responders	nonresponders	prevalence	pseudocount	effect	variance	se	ci_low	ci_high	mean_clr_R	mean_clr_NR
pathway	PWY-6317: galactose degradation I (Leloir pathway)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5995713766320534	0.13148162667303898	0.36260395291976477	-0.11113237109068552	1.3102751243547923	1.9546568872705048	1.624728022659395
pathway	PWY-5100: pyruvate fermentation to acetate and lactate II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6485343289348884	0.13250014234188182	0.364005689985585	-0.06491682343685823	1.361985481306635	1.832879632751055	1.5131397750829156
pathway	PWY-7199: pyrimidine deoxyribonucleosides salvage	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.4880943350779792	0.12946079741068495	0.35980661112698437	-0.21712662273091016	1.1933152928868687	2.1239182440093716	1.8594133083891764
pathway	PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5291517896739953	0.1301568896870179	0.36077262879411726	-0.17796256276247446	1.2362661421104653	2.1876154699272217	1.9299941944876768
pathway	PWY-5104: L-isoleucine biosynthesis IV	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.4752398601318379	0.12925441148940017	0.3595196955514401	-0.22941874314898464	1.1798984634126604	1.3505079908899722	0.9742522002437781
pathway	PWY-6892: thiazole biosynthesis I (E. coli)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5559763560648017	0.13064202455348295	0.36144435886244364	-0.1524545873055878	1.2644072994351911	1.761832995281451	1.4161804128269788
pathway	PWY-6527: stachyose degradation	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6769108134004344	0.13312700023340535	0.3648657290475571	-0.03822601553277749	1.392047642333646	1.879751271582328	1.493971550722926
pathway	PWY-7237: myo-, chiro- and scillo-inositol degradation	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6704751874018605	0.13298247902712404	0.3646676281590183	-0.04427336378981539	1.3852237385935364	1.796449905327339	1.359478276555458
pathway	THRESYN-PWY: superpathway of L-threonine biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.51705816403098	0.12994601516161616	0.36048025627156915	-0.18948313826129548	1.2235994663232557	2.0308252072188098	1.7860647943390109
pathway	PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.23082289485816643	0.12637818289160976	0.35549709266266827	-0.4659514067606634	0.9275971964769962	1.962216595737605	1.8469455961770105
pathway	PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.23082289485816643	0.12637818289160976	0.35549709266266827	-0.4659514067606634	0.9275971964769962	1.962216595737605	1.8469455961770105
pathway	ANAEROFRUCAT-PWY: homolactic fermentation	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.4490348948718257	0.12885073502530722	0.35895784574975825	-0.2545224827977005	1.152592272541352	1.8102234211437125	1.6221818650167457
pathway	PWY-6897: thiamin salvage II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5703215443622756	0.13091130714449423	0.3618166761558873	-0.13883914090326355	1.2794822296278148	1.722768206284352	1.3991233161297036
pathway	THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5036797100264339	0.12971841691663658	0.3601644303878946	-0.20224257353383956	1.2096019935867073	1.69506425241431	1.406020476678737
pathway	PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.6452630610031883	0.13242960304335144	0.3639087839601449	-0.0679981555586957	1.3585242775650723	1.2714368393197526	0.9578673854140852
pathway	PWY-5973: cis-vaccenate biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.43279641702984184	0.12861207505499586	0.35862525713479226	-0.270109086954351	1.1357019210140347	1.8545294192676385	1.5889974300781338
pathway	PWY-6703: preQ0 biosynthesis	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.4693092147686804	0.1291610483962113	0.3593898278975231	-0.2350948479104648	1.1737132774478256	1.7078803334558692	1.429354760990122
pathway	OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.4933952529456856	0.12954751067225365	0.35992709077291424	-0.21206184496922625	1.1988523508605975	1.676843677792517	1.4135716273371828
pathway	DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.43674422322985723	0.1286692880205089	0.35870501532667326	-0.2663176068104223	1.1398060532701368	1.8716904633255518	1.638874990209758
pathway	COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.5693313785717736	0.13089249972220532	0.36179068495776023	-0.1397783639454364	1.2784411210889837	1.6338478296624046	1.315490657949835
pathway	PWY-621: sucrose degradation III (sucrose invertase)	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.8062191821949687	0.1363233522407501	0.3692199239487898	0.08254813125534077	1.5298902331345965	1.0937765001528648	0.694031592130532
pathway	PWY-841: superpathway of purine nucleotides de novo biosynthesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.44264794828650306	0.12875581618046888	0.35882560691855436	-0.26065024127386344	1.1459461378468696	1.875248565518909	1.639031959738674
pathway	GLUCONEO-PWY: gluconeogenesis I	FrankelAE_2017	32	17	15	1.0	5.656157338846748e-07	0.2911532080928163	0.12690303258814367	0.35623451908559295	-0.40706644931494584	0.9893728655005785	1.4016482840016689	1.2743319611837083
