scheme	mode	seed	prediction_type	n	responders	non_responders	prevalence	roc_auc	pr_auc	pr_lift	brier	log_loss	calibration_intercept	calibration_slope	macro_roc_auc	macro_pr_auc	folds
LODO	standard_transductive	20260802	locked_downstream	363	217	146	0.5977961432506887	0.535793194874061	0.616076318456295	1.0305792792609911	0.30728345784703043	0.8999878962572474	0.3894757440941021	0.0693267524003038	0.5305720656179469	0.6146041067831746	9
LODO	standard_transductive	20260802	embedded_DEBIASM	363	217	146	0.5977961432506887	0.4338741241083265	0.5505419845623153	0.920952720719449	0.2585635060421741	0.7144812732530976	0.6404577158089301	-0.4832211174079089	0.501288005556038	0.6080065161957573	9
LODO	standard_transductive	20260803	locked_downstream	363	217	146	0.5977961432506887	0.5373713780695664	0.617068231030431	1.0322385615854675	0.3066409402504039	0.8983365451888629	0.3893099286481485	0.07116915113389323	0.5304099464737535	0.6135511564067031	9
LODO	standard_transductive	20260803	embedded_DEBIASM	363	217	146	0.5977961432506887	0.43946089262041543	0.5564502556790147	0.9308361419883978	0.2581133401950308	0.7135747173798658	0.6333377370537194	-0.44858825883298314	0.5072173207043033	0.6111842825968595	9
LODO	standard_transductive	20260804	locked_downstream	363	217	146	0.5977961432506887	0.5366138501357238	0.6161819143125806	1.030755921177266	0.30703122471809563	0.8995429426766994	0.3894682835663889	0.06976762922830004	0.5299937850834137	0.613512161011746	9
LODO	standard_transductive	20260804	embedded_DEBIASM	363	217	146	0.5977961432506887	0.4360520169181239	0.5550310310266816	0.9284620472934811	0.25850891217429656	0.7142698509056182	0.6363961374644622	-0.46020903346319736	0.5048549648688359	0.6200882617284531	9
LODO	standard_transductive	20260805	locked_downstream	363	217	146	0.5977961432506887	0.5364244681522632	0.6192945613996019	1.0359627916500254	0.3069614789527628	0.898925111430653	0.38935557161443046	0.07082427290970356	0.531473655492008	0.6140324907716203	9
LODO	standard_transductive	20260805	embedded_DEBIASM	363	217	146	0.5977961432506887	0.43355848746922543	0.5531152141732683	0.9252572476723334	0.25923805888002677	0.7159885313703979	0.647794400726486	-0.4838455952078507	0.4988801176061099	0.6082217476519864	9
LODO	standard_transductive	20260806	locked_downstream	363	217	146	0.5977961432506887	0.5362035225048924	0.6169419882159082	1.0320273812090999	0.3070712415265513	0.899271444446787	0.3893260509754833	0.07033601731054422	0.5301349326050563	0.6126821860092101	9
LODO	standard_transductive	20260806	embedded_DEBIASM	363	217	146	0.5977961432506887	0.4339056877722366	0.5533062395114241	0.9255767969707231	0.2590669148448037	0.7154500330193533	0.6457447283575268	-0.4839771210894935	0.5000856131191171	0.6114144803990955	9
