scheme	held_out_group	mode	seed	status	n_train	n_target	n_features	corrected_training_pseudocount	locked_nonzero_coefficients	batch_mapping_json	runtime_seconds	matrix_sha256	manifest_sha256	estimand	DEBIAS_M_min_epochs	elastic_net_C	elastic_net_l1_ratio	elastic_net_class_weight
LODO	Lee_Barcelona	online_adaptive	20260804	PASS	351	12	479	7.432448202798986e-08	179	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 8, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	19.21366262435913	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Lee_Barcelona	online_adaptive	20260805	PASS	351	12	479	7.342405013337307e-08	179	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 8, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	19.904206037521362	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Lee_Barcelona	online_adaptive	20260806	PASS	351	12	479	7.888869114519508e-08	183	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 8, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	19.722959280014038	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Lee_Barcelona	standard_transductive	20260802	PASS	351	12	479	8.918112552159345e-08	176	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 8, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	5.428975343704224	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	transductive_target_distribution	25	0.2	0.75	balanced
LODO	Lee_Barcelona	standard_transductive	20260803	PASS	351	12	479	8.840313432240939e-08	176	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 8, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	5.35099983215332	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	transductive_target_distribution	25	0.2	0.75	balanced
LODO	Lee_Barcelona	standard_transductive	20260804	PASS	351	12	479	8.921041387657422e-08	175	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 8, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	5.203059911727905	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	transductive_target_distribution	25	0.2	0.75	balanced
LODO	Lee_Barcelona	standard_transductive	20260805	PASS	351	12	479	8.804963554998126e-08	175	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 8, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	5.101446151733398	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	transductive_target_distribution	25	0.2	0.75	balanced
LODO	Lee_Barcelona	standard_transductive	20260806	PASS	351	12	479	8.96991636666432e-08	174	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 8, ""Lee_Leeds"": 2, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	5.311664581298828	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	transductive_target_distribution	25	0.2	0.75	balanced
LODO	Lee_Leeds	online_adaptive	20260802	PASS	345	18	483	8.99389940776485e-08	175	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 2, ""Lee_Leeds"": 8, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	45.2610604763031	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Lee_Leeds	online_adaptive	20260803	PASS	345	18	483	9.421471850682334e-08	175	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 2, ""Lee_Leeds"": 8, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	45.68958926200867	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Lee_Leeds	online_adaptive	20260804	PASS	345	18	483	1.0074617153030515e-07	173	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 2, ""Lee_Leeds"": 8, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	45.53237342834473	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Lee_Leeds	online_adaptive	20260805	PASS	345	18	483	9.881214767989469e-08	174	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 2, ""Lee_Leeds"": 8, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	46.170433044433594	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
LODO	Lee_Leeds	online_adaptive	20260806	PASS	345	18	483	9.275167779098941e-08	174	"{""Frankel_US"": 0, ""Gopalakrishnan_US"": 1, ""Lee_Barcelona"": 2, ""Lee_Leeds"": 8, ""Lee_Manchester"": 3, ""Lee_PRIMM_NL"": 4, ""Lee_PRIMM_UK"": 5, ""Matson_US"": 6, ""Spencer_US"": 7}"	46.08738350868225	fb520df3b2d65c4f41eb1f03eb3260ac0a79d3172d519f689d22c95f527f3e2c	3d575891452e9404894befcf8a4d32a7d941fe77ba3d4dfe26a016b670927806	deployment_time_target_batch_adaptation	25	0.2	0.75	balanced
