scheme	held_out_group	mode	seed	prediction_type	n	responders	non_responders	prevalence	roc_auc	pr_auc	pr_lift	brier	log_loss	calibration_intercept	calibration_slope
LODO	Lee_Leeds	online_adaptive	20260805	embedded_DEBIASM	18	10	8	0.5555555555555556	0.4875	0.6356733544233544	1.1442120379620377	0.2574663839544077	0.7091480060734477	0.9329062999280329	-1.3007409560309897
LODO	Lee_Leeds	online_adaptive	20260806	locked_downstream	18	10	8	0.5555555555555556	0.5375000000000001	0.5739128845011199	1.0330431921020158	0.3268793543514469	1.0675928505355219	0.21805092269906592	0.04129531822849437
LODO	Lee_Leeds	online_adaptive	20260806	embedded_DEBIASM	18	10	8	0.5555555555555556	0.4625000000000001	0.5706733544233544	1.027212037962038	0.258617048908645	0.7117496651381803	1.1028364410458749	-1.538110020282771
LODO	Lee_Leeds	standard_transductive	20260802	locked_downstream	18	10	8	0.5555555555555556	0.5125	0.5656998556998558	1.0182597402597404	0.3147767452372351	1.009366621317005	0.23494290656464073	-0.0234170724235008
LODO	Lee_Leeds	standard_transductive	20260802	embedded_DEBIASM	18	10	8	0.5555555555555556	0.4125	0.615676219205631	1.1082171945701358	0.272548042647787	0.7411071329002765	1.1838481100099936	-1.4344686157674218
LODO	Lee_Leeds	standard_transductive	20260803	locked_downstream	18	10	8	0.5555555555555556	0.5125	0.5656998556998558	1.0182597402597404	0.3135152000238148	1.008075553807302	0.2356054800264954	-0.02478984469251533
LODO	Lee_Leeds	standard_transductive	20260803	embedded_DEBIASM	18	10	8	0.5555555555555556	0.4375	0.6273645308939426	1.1292561556090968	0.2725677765428899	0.7410030764064025	1.10141209050133	-1.3031402763697335
LODO	Lee_Leeds	standard_transductive	20260804	locked_downstream	18	10	8	0.5555555555555556	0.5	0.5585569985569987	1.0054025974025975	0.31362119638320246	1.0039109590280715	0.23379283796861752	-0.021288155706957048
LODO	Lee_Leeds	standard_transductive	20260804	embedded_DEBIASM	18	10	8	0.5555555555555556	0.4	0.6085333620627738	1.0953600517129927	0.27186551011243726	0.7393218858940455	1.100941677201658	-1.350810003598708
LODO	Lee_Leeds	standard_transductive	20260805	locked_downstream	18	10	8	0.5555555555555556	0.5125	0.5656998556998558	1.0182597402597404	0.31332577231967046	1.0015579182474257	0.23297950878201112	-0.01975237153484093
LODO	Lee_Leeds	standard_transductive	20260805	embedded_DEBIASM	18	10	8	0.5555555555555556	0.42500000000000004	0.6194857430151548	1.1150743374272787	0.27111623270494634	0.7376068470000502	1.1061338281358608	-1.3802855152529099
LODO	Lee_Leeds	standard_transductive	20260806	locked_downstream	18	10	8	0.5555555555555556	0.5125	0.5656998556998558	1.0182597402597404	0.31452299272081286	1.0077569584673118	0.23489287753124266	-0.023495945101903996
LODO	Lee_Leeds	standard_transductive	20260806	embedded_DEBIASM	18	10	8	0.5555555555555556	0.4125	0.6130788166082283	1.1035418698948107	0.2717351312158429	0.7391388315897752	1.082554072271637	-1.294067234334189
LODO	Lee_Manchester	online_adaptive	20260802	locked_downstream	25	12	13	0.48	0.4551282051282052	0.5053291232761047	1.0527690068252182	0.3679856149367371	1.1102441817941315	-0.07593198125692552	-0.008224149310656336
LODO	Lee_Manchester	online_adaptive	20260802	embedded_DEBIASM	25	12	13	0.48	0.42948717948717946	0.4435763511850469	0.9241173983021811	0.2847127831340218	0.7681108062554146	0.9020618257776355	-1.596049900933198
LODO	Lee_Manchester	online_adaptive	20260803	locked_downstream	25	12	13	0.48	0.4551282051282052	0.5053291232761047	1.0527690068252182	0.36594529408464366	1.1116574782059363	-0.07543804510882389	-0.009021563945679451
LODO	Lee_Manchester	online_adaptive	20260803	embedded_DEBIASM	25	12	13	0.48	0.46794871794871795	0.4635843116341838	0.9658006492378829	0.28367236824901143	0.7658276040449584	0.7200087366578884	-1.3272694043097886
LODO	Lee_Manchester	online_adaptive	20260804	locked_downstream	25	12	13	0.48	0.46153846153846156	0.5097934089903905	1.0620696020633136	0.362900043340654	1.1055696589151147	-0.07761975399606487	-0.004585776810285309
LODO	Lee_Manchester	online_adaptive	20260804	embedded_DEBIASM	25	12	13	0.48	0.47435897435897434	0.46946666457536024	0.9780555511986672	0.28790051720370413	0.7754330109302019	0.6178804683336578	-1.0360665321227178
LODO	Lee_Manchester	online_adaptive	20260805	locked_downstream	25	12	13	0.48	0.46153846153846156	0.5097934089903905	1.0620696020633136	0.36592392161131654	1.1113239303864983	-0.07628045598603606	-0.007366722565530862
LODO	Lee_Manchester	online_adaptive	20260805	embedded_DEBIASM	25	12	13	0.48	0.45512820512820507	0.45432505237492454	0.9465105257810928	0.2857352144553262	0.7705552503025227	0.8040952554413505	-1.4008854205106005
LODO	Lee_Manchester	online_adaptive	20260806	locked_downstream	25	12	13	0.48	0.4551282051282052	0.5053291232761047	1.0527690068252182	0.36593354541621304	1.1128674915308139	-0.0741017581086722	-0.012020178559139097
LODO	Lee_Manchester	online_adaptive	20260806	embedded_DEBIASM	25	12	13	0.48	0.4871794871794871	0.47417972928842494	0.987874436017552	0.2836906340732541	0.7657535499987469	0.4639663044763609	-0.8582971085100377
LODO	Lee_Manchester	standard_transductive	20260802	locked_downstream	25	12	13	0.48	0.41025641025641024	0.4532110318875025	0.9441896497656302	0.37762082158844146	1.089377862960393	-0.0046409862107239215	-0.11088124546941135
LODO	Lee_Manchester	standard_transductive	20260802	embedded_DEBIASM	25	12	13	0.48	0.41666666666666663	0.4715064863520241	0.9823051799000502	0.2928639908330105	0.7880469501715653	0.2486534256523829	-0.5339445772133585
LODO	Lee_Manchester	standard_transductive	20260803	locked_downstream	25	12	13	0.48	0.40384615384615385	0.4393221429986136	0.915254464580445	0.377044658228854	1.0932158932340894	-0.0015277800145553067	-0.11292666103926653
LODO	Lee_Manchester	standard_transductive	20260803	embedded_DEBIASM	25	12	13	0.48	0.4358974358974359	0.46687772331154687	0.9726619235657227	0.2939252064765786	0.7915369616258271	0.24513314354145113	-0.5155441074646272
LODO	Lee_Manchester	standard_transductive	20260804	locked_downstream	25	12	13	0.48	0.41025641025641024	0.44395177262824326	0.9248995263088402	0.3745324115462337	1.0880323693839886	-0.004013797330849224	-0.10794683003956417
LODO	Lee_Manchester	standard_transductive	20260804	embedded_DEBIASM	25	12	13	0.48	0.46153846153846156	0.5294284237341008	1.1029758827793767	0.29483587969829245	0.7941969635001214	0.1846523287175292	-0.38784110340737116
LODO	Lee_Manchester	standard_transductive	20260805	locked_downstream	25	12	13	0.48	0.41025641025641024	0.44395177262824326	0.9248995263088402	0.37690191098767106	1.0916111007329699	-0.0032682870950341354	-0.11041340422792291
LODO	Lee_Manchester	standard_transductive	20260805	embedded_DEBIASM	25	12	13	0.48	0.39743589743589747	0.4645531813724033	0.9678191278591736	0.29614315421972043	0.7965357023164666	0.29589106908681045	-0.5893628816686567
LODO	Lee_Manchester	standard_transductive	20260806	locked_downstream	25	12	13	0.48	0.40384615384615385	0.4393221429986136	0.915254464580445	0.3762299596429433	1.0910280923597093	-0.0037149878812778245	-0.11184513963268675
LODO	Lee_Manchester	standard_transductive	20260806	embedded_DEBIASM	25	12	13	0.48	0.4551282051282051	0.5272850444525636	1.0985105092761742	0.29129823075536	0.7845877153949443	0.22745798374425075	-0.4944041228927919
LODO	Lee_PRIMM_NL	online_adaptive	20260802	locked_downstream	55	33	22	0.6	0.5895316804407713	0.6559630992293307	1.0932718320488846	0.28503937498411025	0.8487613335801266	0.3580540875784061	0.16735284732980543
LODO	Lee_PRIMM_NL	online_adaptive	20260802	embedded_DEBIASM	55	33	22	0.6	0.5385674931129476	0.6243281859191206	1.0405469765318678	0.2401795395214993	0.6739902824625703	0.0949272880778	0.573134097903773
LODO	Lee_PRIMM_NL	online_adaptive	20260803	locked_downstream	55	33	22	0.6	0.5895316804407713	0.6511122114423374	1.0851870190705624	0.28517811919014696	0.8515133705789116	0.3612473973816051	0.16497472949194705
LODO	Lee_PRIMM_NL	online_adaptive	20260803	embedded_DEBIASM	55	33	22	0.6	0.5454545454545455	0.6256730248373097	1.0427883747288496	0.2404520534709678	0.6746765396365791	0.016582035679609978	0.6554670896928765
LODO	Lee_PRIMM_NL	online_adaptive	20260804	locked_downstream	55	33	22	0.6	0.5922865013774106	0.6593138611816465	1.0988564353027441	0.28583116472951015	0.8527266054251826	0.3634097862947069	0.16546375454206166
LODO	Lee_PRIMM_NL	online_adaptive	20260804	embedded_DEBIASM	55	33	22	0.6	0.5358126721763086	0.6224570099878578	1.037428349979763	0.24144545500089298	0.6767343148504463	0.12213363651249508	0.4869036581363137
LODO	Lee_PRIMM_NL	online_adaptive	20260805	locked_downstream	55	33	22	0.6	0.5895316804407713	0.6552135698540407	1.0920226164234013	0.2862513213416543	0.8529917373901091	0.36284881331860586	0.16460676034130597
LODO	Lee_PRIMM_NL	online_adaptive	20260805	embedded_DEBIASM	55	33	22	0.6	0.5440771349862259	0.6260127278445469	1.0433545464075782	0.24072578513035603	0.6752159971297897	0.06437051046000512	0.5875099004976796
LODO	Lee_PRIMM_NL	online_adaptive	20260806	locked_downstream	55	33	22	0.6	0.5895316804407713	0.6572869870171223	1.0954783116952038	0.28554215048045245	0.8512281659988762	0.36001998808900004	0.16673092315788782
LODO	Lee_PRIMM_NL	online_adaptive	20260806	embedded_DEBIASM	55	33	22	0.6	0.5454545454545454	0.6290864840943466	1.0484774734905777	0.24099307394592834	0.6758032852928043	0.08125073162137686	0.5550209068848898
LODO	Lee_PRIMM_NL	standard_transductive	20260802	locked_downstream	55	33	22	0.6	0.5964187327823691	0.6655908500208013	1.1093180833680023	0.27420639597215896	0.8017000364461141	0.36987859671378676	0.19513447948046161
LODO	Lee_PRIMM_NL	standard_transductive	20260802	embedded_DEBIASM	55	33	22	0.6	0.5523415977961432	0.6642994307253915	1.1071657178756527	0.23264661483973098	0.6583285202717822	-0.25109182050175555	1.1945737115010895
LODO	Lee_PRIMM_NL	standard_transductive	20260803	locked_downstream	55	33	22	0.6	0.5977961432506887	0.6669246630015983	1.1115411050026638	0.27420077526217923	0.8031311048368265	0.37235046025039426	0.19400763665197296
LODO	Lee_PRIMM_NL	standard_transductive	20260803	embedded_DEBIASM	55	33	22	0.6	0.5550964187327825	0.665050506457092	1.10841751076182	0.2331863534762057	0.6594321661205148	-0.346579120288381	1.2411273820274573
LODO	Lee_PRIMM_NL	standard_transductive	20260804	locked_downstream	55	33	22	0.6	0.5977961432506886	0.6661081136959598	1.1101801894932664	0.27504706958010067	0.805247617645416	0.3746303954492478	0.192375892558305
LODO	Lee_PRIMM_NL	standard_transductive	20260804	embedded_DEBIASM	55	33	22	0.6	0.5647382920110193	0.6836721317104056	1.1394535528506762	0.23332177670070522	0.6596302364548382	-0.3017515978709374	1.2010825574945851
LODO	Lee_PRIMM_NL	standard_transductive	20260805	locked_downstream	55	33	22	0.6	0.5991735537190084	0.6671276900870532	1.111879483478422	0.27488370476853297	0.8041950915804486	0.3737402853319111	0.19391816248220659
LODO	Lee_PRIMM_NL	standard_transductive	20260805	embedded_DEBIASM	55	33	22	0.6	0.5633608815426997	0.6832692315191037	1.1387820525318395	0.2330310389423437	0.6589843411717511	-0.3377496194960026	1.2416508729190103
LODO	Lee_PRIMM_NL	standard_transductive	20260806	locked_downstream	55	33	22	0.6	0.59366391184573	0.6637334098103451	1.1062223496839085	0.27467972324507184	0.8031696717949505	0.3712254551576648	0.19500389676908508
LODO	Lee_PRIMM_NL	standard_transductive	20260806	embedded_DEBIASM	55	33	22	0.6	0.5482093663911846	0.6625574213739478	1.1042623689565798	0.23393385569031624	0.6609909823352208	-0.29184778163456526	1.1714398130101649
LODO	Lee_PRIMM_UK	online_adaptive	20260802	locked_downstream	54	33	21	0.6111111111111112	0.7258297258297258	0.8452399637849288	1.3831199407389743	0.2633326216562925	0.9327361434208962	0.8734187492494516	0.36426004473483137
LODO	Lee_PRIMM_UK	online_adaptive	20260802	embedded_DEBIASM	54	33	21	0.6111111111111112	0.6464646464646465	0.7800324417460506	1.2764167228571737	0.2297767902165139	0.6517520411450917	-0.567272670605728	2.7314896416886785
LODO	Lee_PRIMM_UK	online_adaptive	20260803	locked_downstream	54	33	21	0.6111111111111112	0.7258297258297258	0.8456119957359082	1.3837287202951223	0.26352697151758775	0.9319850239674456	0.8666406701077939	0.36197881813034366
LODO	Lee_PRIMM_UK	online_adaptive	20260803	embedded_DEBIASM	54	33	21	0.6111111111111112	0.6479076479076479	0.796454844506208	1.303289745555613	0.2290961133695088	0.6501466491317304	-0.8342437092171893	2.97578169097476
LODO	Lee_PRIMM_UK	online_adaptive	20260804	locked_downstream	54	33	21	0.6111111111111112	0.7243867243867244	0.844398212943178	1.3817425302706547	0.2635022637079104	0.9322225597293737	0.8697607880170272	0.3631786133862694
LODO	Lee_PRIMM_UK	online_adaptive	20260804	embedded_DEBIASM	54	33	21	0.6111111111111112	0.6536796536796536	0.7959982240769065	1.3025425484894833	0.2288715082320744	0.6497323276969331	-0.7737170520787962	3.038807221932043
LODO	Lee_PRIMM_UK	online_adaptive	20260805	locked_downstream	54	33	21	0.6111111111111112	0.7258297258297258	0.8448227481503219	1.382437224245981	0.26387064790564974	0.9321316764545189	0.8775068137474965	0.3660772596857344
LODO	Lee_PRIMM_UK	online_adaptive	20260805	embedded_DEBIASM	54	33	21	0.6111111111111112	0.6608946608946609	0.7994253488831117	1.3081505708996373	0.22871624897218	0.64942211213051	-0.8128799898050224	3.0874722923635107
LODO	Lee_PRIMM_UK	online_adaptive	20260806	locked_downstream	54	33	21	0.6111111111111112	0.7258297258297258	0.8448227481503219	1.382437224245981	0.2625434450437958	0.9288744201266462	0.8713128424400969	0.36557918931197597
LODO	Lee_PRIMM_UK	online_adaptive	20260806	embedded_DEBIASM	54	33	21	0.6111111111111112	0.6507936507936509	0.7839267199437399	1.282789178089756	0.22914722641348584	0.65045355497271	-0.6535793955070469	2.9902817404863327
LODO	Lee_PRIMM_UK	standard_transductive	20260802	locked_downstream	54	33	21	0.6111111111111112	0.7272727272727273	0.8546571494014168	1.398529880838682	0.23576490153196433	0.7432526772934492	0.6664658030414973	0.45092242836112173
