scheme	held_out_group	mode	seed	prediction_type	debiasm_roc_auc	frozen_baseline_roc_auc	delta_roc_auc	debiasm_pr_auc	frozen_baseline_pr_auc	delta_pr_auc	debiasm_brier	frozen_baseline_brier	delta_brier
LODO	Frankel_US	standard_transductive	20260802	embedded_DEBIASM	0.4555555555555556	0.4777777777777778	-0.0222222222222222	0.5609350897301495	0.6314741194417396	-0.0705390297115901	0.24843109041259653	0.3446585736288789	-0.09622748321628238
LODO	Frankel_US	standard_transductive	20260803	locked_downstream	0.5166666666666666	0.4777777777777778	0.038888888888888806	0.6442872138334912	0.6314741194417396	0.0128130943917516	0.34381893585780743	0.3446585736288789	-0.0008396377710714886
LODO	Frankel_US	standard_transductive	20260803	embedded_DEBIASM	0.45833333333333337	0.4777777777777778	-0.01944444444444443	0.5631025981476578	0.6314741194417396	-0.06837152129408175	0.24823308626923682	0.3446585736288789	-0.0964254873596421
LODO	Frankel_US	standard_transductive	20260804	locked_downstream	0.5166666666666666	0.4777777777777778	0.038888888888888806	0.6460559697689139	0.6314741194417396	0.014581850327174295	0.3445633155097623	0.3446585736288789	-9.525811911659243e-05
LODO	Frankel_US	standard_transductive	20260804	embedded_DEBIASM	0.44722222222222224	0.4777777777777778	-0.030555555555555558	0.5579495537283091	0.6314741194417396	-0.07352456571343047	0.24814860814171688	0.3446585736288789	-0.09650996548716204
LODO	Frankel_US	standard_transductive	20260805	locked_downstream	0.5055555555555555	0.4777777777777778	0.027777777777777735	0.6396645592470686	0.6314741194417396	0.008190439805328964	0.34469880509173817	0.3446585736288789	4.023146285925261e-05
LODO	Frankel_US	standard_transductive	20260805	embedded_DEBIASM	0.45277777777777783	0.4777777777777778	-0.024999999999999967	0.5603920689425634	0.6314741194417396	-0.07108205049917615	0.24945699420709241	0.3446585736288789	-0.0952015794217865
LODO	Frankel_US	standard_transductive	20260806	locked_downstream	0.5111111111111111	0.4777777777777778	0.03333333333333327	0.6419253781383222	0.6314741194417396	0.010451258696582588	0.3450587583186953	0.3446585736288789	0.0004001846898163963
LODO	Frankel_US	standard_transductive	20260806	embedded_DEBIASM	0.45000000000000007	0.4777777777777778	-0.027777777777777735	0.5591023864028809	0.6314741194417396	-0.07237173303885869	0.2493573365387727	0.3446585736288789	-0.09530123709010621
LODO	Gopalakrishnan_US	online_adaptive	20260802	locked_downstream	0.5584415584415584	0.551948051948052	0.00649350649350644	0.590771077661834	0.6026296038837142	-0.011858526221880217	0.2824325894653639	0.2807005903921053	0.0017319990732586055
LODO	Gopalakrishnan_US	online_adaptive	20260802	embedded_DEBIASM	0.5454545454545455	0.551948051948052	-0.00649350649350644	0.6175697990760103	0.6026296038837142	0.014940195192296057	0.24842267452847083	0.2807005903921053	-0.03227791586363449
LODO	Gopalakrishnan_US	online_adaptive	20260803	locked_downstream	0.564935064935065	0.551948051948052	0.012987012987012991	0.6026758395665959	0.6026296038837142	4.62356828816457e-05	0.28171397914939533	0.2807005903921053	0.0010133887572900124
LODO	Gopalakrishnan_US	online_adaptive	20260803	embedded_DEBIASM	0.5844155844155845	0.551948051948052	0.032467532467532534	0.6416332356394467	0.6026296038837142	0.039003631755732515	0.2471950564756523	0.2807005903921053	-0.03350553391645303
LODO	Gopalakrishnan_US	online_adaptive	20260804	locked_downstream	0.551948051948052	0.551948051948052	0.0	0.5862256231163794	0.6026296038837142	-0.016403980767334847	0.28362932803653296	0.2807005903921053	0.002928737644427637
LODO	Gopalakrishnan_US	online_adaptive	20260804	embedded_DEBIASM	0.577922077922078	0.551948051948052	0.025974025974025983	0.6371764579957857	0.6026296038837142	0.03454685411207148	0.24822026776408151	0.2807005903921053	-0.032480322628023806
LODO	Gopalakrishnan_US	online_adaptive	20260805	locked_downstream	0.5714285714285714	0.551948051948052	0.01948051948051943	0.6055644950287807	0.6026296038837142	0.0029348911450665094	0.2821160398450406	0.2807005903921053	0.001415449452935258
LODO	Gopalakrishnan_US	online_adaptive	20260805	embedded_DEBIASM	0.5324675324675325	0.551948051948052	-0.01948051948051943	0.59449693356617	0.6026296038837142	-0.008132670317544277	0.2500712659493514	0.2807005903921053	-0.030629324442753902
LODO	Gopalakrishnan_US	online_adaptive	20260806	locked_downstream	0.5714285714285714	0.551948051948052	0.01948051948051943	0.6055644950287807	0.6026296038837142	0.0029348911450665094	0.2816443637055585	0.2807005903921053	0.0009437733134531889
LODO	Gopalakrishnan_US	online_adaptive	20260806	embedded_DEBIASM	0.551948051948052	0.551948051948052	0.0	0.6042569214774183	0.6026296038837142	0.0016273175937040474	0.2502577663309717	0.2807005903921053	-0.030442824061133633
LODO	Gopalakrishnan_US	standard_transductive	20260802	locked_downstream	0.5584415584415584	0.551948051948052	0.00649350649350644	0.5852118119975263	0.6026296038837142	-0.017417791886187972	0.2911486307051467	0.2807005903921053	0.010448040313041362
LODO	Gopalakrishnan_US	standard_transductive	20260802	embedded_DEBIASM	0.487012987012987	0.551948051948052	-0.06493506493506496	0.6103122638081919	0.6026296038837142	0.007682659924477697	0.2557107574206453	0.2807005903921053	-0.024989832971460013
LODO	Gopalakrishnan_US	standard_transductive	20260803	locked_downstream	0.5454545454545454	0.551948051948052	-0.006493506493506551	0.5812256325455083	0.6026296038837142	-0.02140397133820593	0.29077951508252375	0.2807005903921053	0.010078924690418434
LODO	Gopalakrishnan_US	standard_transductive	20260803	embedded_DEBIASM	0.5	0.551948051948052	-0.051948051948051965	0.6345412887515025	0.6026296038837142	0.03191168486778828	0.2548434731396991	0.2807005903921053	-0.025857117252406248
LODO	Gopalakrishnan_US	standard_transductive	20260804	locked_downstream	0.5454545454545454	0.551948051948052	-0.006493506493506551	0.5812256325455083	0.6026296038837142	-0.02140397133820593	0.2935590780316192	0.2807005903921053	0.01285848763951386
