scenario	species	classification	domain_k	domain_pooled_effect	domain_ci_low	domain_ci_high	domain_p_value	domain_fdr_q	domain_I2	domain_prediction_low	domain_prediction_high	domain_sign_consistency	positive_domains	negative_domains	significant_positive_domains	significant_negative_domains	family_k	family_pooled_effect	family_p_value	family_fdr_q	family_I2	family_sign_consistency	family_same_direction	family_support_p_lt_0_10	prevalence_meta_effect	prevalence_meta_p	prevalence_meta_fdr_q	prevalence_same_direction	dominant_domain_share	influential_domain	loo_sign_flip
PRIMARY	s__Anaerotruncus_colihominis	CONSISTENT_NONSIGNIFICANT	8	-0.26125109161845184	-0.5463253920474227	0.02382320881051897	0.0669111492179111	0.9899399288667535	0.0	-0.5562458184395689	0.033743635202665156	0.875	1	7	0	1	5	-0.2433370226894442	0.09168267647469854	0.9868213417628564	0.0	1.0	1	1	-0.56907355490918	0.05198887064849684	0.9996325270282626	1	0.37476583906594163	Gopalakrishnan_US	0
PRIMARY	s__Bifidobacterium_bifidum	CONSISTENT_NONSIGNIFICANT	8	0.18595707131230352	-0.07977041443992874	0.4516845570645358	0.14194485676750726	0.9899399288667535	0.0	-0.0890175826241956	0.46093172524880266	0.875	7	1	0	0	5	0.18012484996755518	0.17673288178081306	0.9868213417628564	0.0	1.0	1	0	0.27996310046992745	0.3334028740891359	0.9996325270282626	1	0.40167794729179546	Gopalakrishnan_US	0
PRIMARY	s__Clostridium_SGB4648	CONSISTENT_NONSIGNIFICANT	8	0.16045770571404114	-0.11650471343141863	0.4374201248595009	0.21302653216719028	0.9899399288667535	0.0	-0.12614285091022068	0.4470582623383029	0.875	7	1	0	0	4	0.13223376527845634	0.33894126231389365	0.9868213417628564	0.0	1.0	1	0	0.38358192286542553	0.2500232937376715	0.9996325270282626	1	0.3393279705473009	Gopalakrishnan_US	0
PRIMARY	s__Harryflintia_acetispora	CONSISTENT_NONSIGNIFICANT	8	0.12448382796610882	-0.1592605094170463	0.408228165349264	0.33404910303481383	0.9899399288667535	0.0	-0.16913465385993184	0.41810230979214946	0.875	7	1	0	0	5	0.10612218872802456	0.3878330117040026	0.9868213417628564	0.0	1.0	1	0	0.13589699415734696	0.5955991515836673	0.9996325270282626	1	0.2556547352254783	Lee_PRIMM_UK	0
PRIMARY	s__Bacteroides_faecis	CONSISTENT_NONSIGNIFICANT	7	0.12887731743809872	-0.17112521977017514	0.42887985464637257	0.3336656462573749	0.9899399288667535	0.0	-0.18628772361138263	0.44404235848758006	0.8571428571428571	6	1	0	0	5	0.03198191518403159	0.7850109482889385	0.9868213417628564	0.0	0.8	1	0	0.10960636747833435	0.7113171133567655	0.9996325270282626	1	0.226238788441072	Lee_Leeds	0
PRIMARY	s__Gordonibacter_pamelaeae	CONSISTENT_NONSIGNIFICANT	7	-0.1283763264646773	-0.5188173852884804	0.26206473235912586	0.4517775114335379	0.9899399288667535	26.088652141538386	-0.86347468595359	0.6067220330242353	0.8571428571428571	1	6	0	1	4	-0.17045886968321172	0.4569580537929935	0.9868213417628564	45.923866254773884	0.75	1	0	-0.24528123002664515	0.4640156960750254	0.9996325270282626	1	0.37904693096009917	Lee_PRIMM_NL	1
PRIMARY	s__Rothia_mucilaginosa	CONSISTENT_NONSIGNIFICANT	7	-0.11665621826752363	-0.40244621347271103	0.16913377693766374	0.356452865290519	0.9899399288667535	0.0	-0.4168903976908331	0.18357796115578578	0.8571428571428571	1	6	0	0	4	-0.0921104182896849	0.4780432546626954	0.9868213417628564	0.0	1.0	1	0	-0.26247630535150906	0.4111603641895596	0.9996325270282626	1	0.27749842340533665	Lee_Manchester	0
PRIMARY	s__GGB3534_SGB4722	CONSISTENT_NONSIGNIFICANT	7	-0.08139498362789306	-0.3667529137937632	0.20396294653797709	0.5113349147948012	0.9899399288667535	0.0	-0.38117526091182624	0.21838529365604015	0.8571428571428571	1	6	0	0	5	-0.07579888820274466	0.5270952539225991	0.9868213417628564	0.0	1.0	1	0	-0.27804204433389823	0.4090694700307957	0.9996325270282626	1	0.31085299225686436	Lee_PRIMM_NL	0
PRIMARY	s__Veillonella_atypica	CONSISTENT_NONSIGNIFICANT	6	-0.382232005002668	-0.7164524186776798	-0.0480115913276562	0.03226217566687105	0.9899399288667535	0.0	-0.74321822999727	-0.021245780008065984	0.8333333333333334	1	5	0	2	5	-0.2753506163898614	0.06688238453207633	0.9868213417628564	0.0	0.8	1	1	-0.9122867587117454	0.02839740156965986	0.9996325270282626	1	0.31511846250882797	Matson_US	0
PRIMARY	s__Streptococcus_SGB14888	CONSISTENT_NONSIGNIFICANT	6	-0.3176806479609405	-0.650886840479425	0.015525544557544124	0.057878927072543065	0.9899399288667535	0.0	-0.6775714286140155	0.04221013269213464	0.8333333333333334	1	5	0	0	4	-0.3571320402337102	0.062422843008649406	0.9868213417628564	12.74994637679446	0.75	1	1	-0.7633133220743239	0.046977923935737964	0.9996325270282626	1	0.2331409868363376	Frankel_US	0
PRIMARY	s__Bittarella_massiliensis	CONSISTENT_NONSIGNIFICANT	6	-0.3129802467958604	-0.664126004370311	0.03816551077859026	0.07054446667782065	0.9899399288667535	0.0	-0.6922472701560061	0.06628677656428522	0.8333333333333334	1	5	0	1	3	-0.271095697199627	0.17575620351147492	0.9868213417628564	0.0	1.0	1	0	-0.643786359698517	0.06654588634036211	0.9996325270282626	1	0.2864474593875773	Lee_PRIMM_NL	0
PRIMARY	s__Blautia_sp_Marseille_P3087	CONSISTENT_NONSIGNIFICANT	6	0.27541799996934047	-0.12403980254762265	0.6748758024863035	0.13653125594808077	0.9899399288667535	10.36775387716123	-0.37034755142069264	0.9211835513593736	0.8333333333333334	5	1	1	0	3	0.34424406381515943	0.2759639848891672	0.9868213417628564	54.77783708414723	1.0	1	0	0.2945017143684634	0.3428929384732238	0.9996325270282626	1	0.31462194076907984	Lee_PRIMM_NL	0
PRIMARY	s__Lactococcus_lactis	CONSISTENT_NONSIGNIFICANT	6	0.2200643404549464	-0.1291314416321145	0.5692601225420073	0.16616015865176373	0.9899399288667535	0.0	-0.15709654499066464	0.5972252259005575	0.8333333333333334	5	1	0	0	3	0.22139747891934522	0.23465433348201975	0.9868213417628564	0.0	0.6666666666666666	1	0	0.29984854263566896	0.32462151994666966	0.9996325270282626	1	0.307014085912597	Matson_US	0
PRIMARY	s__Lachnotalea_sp_AF33_28	CONSISTENT_NONSIGNIFICANT	6	-0.20428965298405902	-0.5359022977799011	0.127322991811783	0.17413402444904139	0.9899399288667535	0.0	-0.5624592677348288	0.1538799617667108	0.8333333333333334	1	5	0	0	5	-0.10846614361133455	0.3790482005195818	0.9868213417628564	0.0	0.8	1	0	-0.28365672847655776	0.3236847724660719	0.9996325270282626	1	0.43450614434568485	Matson_US	0
