species	available_scenarios	same_pooled_direction_all_scenarios	pooled_effect_range	same_classification_all_scenarios	primary_classification	primary_pooled_effect	primary_fdr_q	primary_I2	S1_effect	S2_effect	S3_effect	S1_classification	S2_classification	S3_classification
s__Phocaeicola_vulgatus	4	1	0.01940235061175502	1	OTHER_OR_INSUFFICIENT	0.16516785799180425	0.9899399288667535	26.257740461083333	0.17311025703643532	0.18281325751072008	0.18457020860355927	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Phocea_massiliensis	4	1	0.013413936679132661	1	OTHER_OR_INSUFFICIENT	0.05912731630522835	0.9899399288667535	0.0	0.06688180909090748	0.07254125298436101	0.07089183439564835	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Prevotella_copri_clade_A	4	1	0.039725861919384	1	OTHER_OR_INSUFFICIENT	-0.05461757705918795	0.9899399288667535	0.0	-0.05461757705918795	-0.05461757705918795	-0.09434343897857195	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Pseudoflavonifractor_capillosus	4	1	0.0	1	OTHER_OR_INSUFFICIENT	0.11180352053690848	0.9899399288667535	0.0	0.11180352053690848	0.11180352053690848	0.11180352053690848	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Pseudoflavonifractor_gallinarum	4	1	0.0	1	CONSISTENT_NONSIGNIFICANT	-0.12544049021529857	0.9899399288667535	23.980853989178897	-0.12544049021529857	-0.12544049021529857	-0.12544049021529857	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT
s__Pseudoflavonifractor_sp_An184	4	1	0.0	1	OTHER_OR_INSUFFICIENT	-0.07549487856583677	0.9899399288667535	45.33323200253297	-0.07549487856583677	-0.07549487856583677	-0.07549487856583677	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Pseudoruminococcus_massiliensis	3	1	0.0	1	OTHER_OR_INSUFFICIENT	0.00674431430178636	0.9925937920540963	0.0	0.00674431430178636	0.00674431430178636		OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	
s__Raoultibacter_massiliensis	4	1	0.02057584789895292	1	OTHER_OR_INSUFFICIENT	0.06839111109782701	0.9899399288667535	0.0	0.06839111109782701	0.06839111109782701	0.047815263198874094	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Raoultibacter_timonensis	3	1	0.0	1	OTHER_OR_INSUFFICIENT	0.10756345348919819	0.9899399288667535	0.0	0.10756345348919819	0.10756345348919819		OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	
s__Rheinheimera_SGB14999	4	1	0.007088069003595286	1	OTHER_OR_INSUFFICIENT	-0.0438316540939053	0.9899399288667535	13.826645245478817	-0.03940815490793921	-0.03674358509031001	-0.0367446766797566	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Romboutsia_timonensis	4	1	0.07213592378333185	0	OTHER_OR_INSUFFICIENT	0.12387895169934794	0.9899399288667535	48.13972461947289	0.10893016713883442	0.09680181215229115	0.168937735935623	OTHER_OR_INSUFFICIENT	DOMAIN_SPECIFIC	DOMAIN_SPECIFIC
s__Roseburia_faecis	4	1	0.044776438566080046	1	CONSISTENT_NONSIGNIFICANT	0.2291352391402861	0.9899399288667535	0.0	0.23591653944734892	0.24073105151469615	0.27391167770636615	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT
s__Roseburia_hominis	4	1	0.007255244526830296	0	CONSISTENT_NONSIGNIFICANT	0.18514447717776225	0.9899399288667535	0.0	0.18330999705455822	0.18138394094574145	0.18863918547257175	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT	OTHER_OR_INSUFFICIENT
s__Roseburia_intestinalis	4	1	0.02874551842189391	1	OTHER_OR_INSUFFICIENT	-0.04899203726130414	0.9899399288667535	0.0	-0.04727051023958633	-0.04740035389439996	-0.02024651883941023	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Roseburia_inulinivorans	4	0	0.04090096095790488	1	OTHER_OR_INSUFFICIENT	0.02726570135168075	0.9899399288667535	0.0	0.025281909574091342	0.023403923035808575	-0.013635259606224134	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Roseburia_sp_AF02_12	4	1	0.046864013935856104	1	STRONG_DIRECTION_REVERSAL	-0.023500002470629895	0.9899399288667535	63.55374262833453	-0.04248870517402138	-0.055402529958486484	-0.070364016406486	STRONG_DIRECTION_REVERSAL	STRONG_DIRECTION_REVERSAL	STRONG_DIRECTION_REVERSAL
s__Roseburia_sp_AM16_25	4	1	0.021086106835199056	0	OTHER_OR_INSUFFICIENT	0.10051027919485361	0.9899399288667535	18.427580212822413	0.10051027919485361	0.10051027919485361	0.12159638603005267	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	CONSISTENT_NONSIGNIFICANT
s__Roseburia_sp_BX1005	4	1	0.0	1	OTHER_OR_INSUFFICIENT	0.0024469295458173458	0.9930462049980862	0.0	0.0024469295458173458	0.0024469295458173458	0.0024469295458173458	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
s__Rothia_mucilaginosa	4	1	0.050178433947609416	1	CONSISTENT_NONSIGNIFICANT	-0.11665621826752363	0.9899399288667535	0.0	-0.11665621826752363	-0.11665621826752363	-0.16683465221513305	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT
s__Ruminococcus_SGB4421	4	1	0.049757884888416135	1	CONSISTENT_NONSIGNIFICANT	0.07021472225936155	0.9899399288667535	0.0	0.020456837370945415	0.037969734129474214	0.020456837370945415	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT	CONSISTENT_NONSIGNIFICANT
s__Ruminococcus_bicirculans	4	1	0.019440541585610087	1	OTHER_OR_INSUFFICIENT	0.07689631367257656	0.9899399288667535	9.238240672652498	0.0763317615025143	0.07580003809217863	0.05745577208696647	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT	OTHER_OR_INSUFFICIENT
