scenario	analysis_level	group	species	effect_type	n	responders	non_responders	prevalence	responder_prevalence	non_responder_prevalence	pseudocount	effect	variance	se	ci_low	ci_high	responder_mean	non_responder_mean
PRIMARY	domain	Frankel_US	s__Actinomyces_dentalis	PRESENCE_LOG_OR	39	24	15	0.15384615384615385	0.08333333333333333	0.26666666666666666	1.13823473906e-07	-1.3862943611198906	0.8863636363636364	0.9414688716912718	-3.2315733496347834	0.45898462739500223		
PRIMARY	domain	Frankel_US	s__Actinomyces_graevenitzii	CLR_HEDGES_G	39	24	15	0.3076923076923077	0.16666666666666666	0.5333333333333333	1.13823473906e-07	-0.8206111503180656	0.11743336927963521	0.34268552534303987	-1.492274779990424	-0.1489475206457075	0.03813373114639843	2.1603389095596475
PRIMARY	domain	Frankel_US	s__Actinomyces_graevenitzii	PRESENCE_LOG_OR	39	24	15	0.3076923076923077	0.16666666666666666	0.5333333333333333	1.13823473906e-07	-1.742969305058623	0.5678571428571428	0.7535629654230248	-3.2199527172877516	-0.2659858928294945		
PRIMARY	domain	Frankel_US	s__Actinomyces_oris	CLR_HEDGES_G	39	24	15	0.6923076923076923	0.625	0.8	1.13823473906e-07	-0.5988438427284059	0.11317946776541069	0.336421562575009	-1.2582301053754235	0.060542419918611756	2.1574703583410355	3.8348151589468027
PRIMARY	domain	Frankel_US	s__Actinomyces_oris	PRESENCE_LOG_OR	39	24	15	0.6923076923076923	0.625	0.8	1.13823473906e-07	-0.8754687373538999	0.5944444444444443	0.7710022337480251	-2.386633115500029	0.6356956407922294		
PRIMARY	domain	Frankel_US	s__Actinomyces_sp_HMSC035G02	CLR_HEDGES_G	39	24	15	0.1282051282051282	0.08333333333333333	0.2	1.13823473906e-07	-0.2975328380696553	0.10952962778914123	0.3309526065604277	-0.9461999469280935	0.35113427078878295	-0.24319698695847328	0.4916556700655305
PRIMARY	domain	Frankel_US	s__Actinomyces_sp_HMSC035G02	PRESENCE_LOG_OR	39	24	15	0.1282051282051282	0.08333333333333333	0.2	1.13823473906e-07	-1.0116009116784799	0.962121212121212	0.9808777763417887	-2.934121353308386	0.9109195299514261		
PRIMARY	domain	Frankel_US	s__Actinomyces_sp_ICM47	CLR_HEDGES_G	39	24	15	0.38461538461538464	0.375	0.4	1.13823473906e-07	-0.06938097876720901	0.1083983836065049	0.32923909793113104	-0.7146896107122259	0.5759276531778078	1.6067861629422604	1.8434697817090073
PRIMARY	domain	Frankel_US	s__Actinomyces_sp_ICM47	PRESENCE_LOG_OR	39	24	15	0.38461538461538464	0.375	0.4	1.13823473906e-07	-0.10536051565782628	0.45555555555555555	0.6749485577105528	-1.42825968877051	1.2175386574548572		
PRIMARY	domain	Frankel_US	s__Actinomyces_sp_ICM58	CLR_HEDGES_G	39	24	15	0.358974358974359	0.3333333333333333	0.4	1.13823473906e-07	-0.2960704699702833	0.10951789716020394	0.330934883565036	-0.9447028417577538	0.35256190181718716	1.1739099887295839	2.189153110952827
