scenario	species	full_pooled_effect	full_I2	full_fdr_q	influential_omitted_domain	max_abs_loo_delta	pooled_effect_after_influential_omission	signed_loo_delta	any_leave_one_domain_sign_flip	largest_absolute_effect_domain	largest_absolute_domain_effect	dominant_domain_absolute_effect_share
S2_BCN12_AS_NR	s__Phocaeicola_vulgatus	0.18281325751072008	3.0025100443544726	0.9914012814622465	Spencer_US	0.0750552269504032	0.10775803056031688	-0.0750552269504032	0	Lee_Leeds	-0.8819606938324402	0.27936340138347676
S2_BCN12_AS_NR	s__Pseudoflavonifractor_gallinarum	-0.12544049021529857	23.980853989178897	0.9914012814622465	Frankel_US	0.13790106257425444	-0.263341552789553	-0.13790106257425444	0	Gopalakrishnan_US	-0.49585575073482246	0.2931734444929653
S2_BCN12_AS_NR	s__Pseudoflavonifractor_sp_An184	-0.07549487856583677	45.33323200253297	0.9914012814622465	Spencer_US	0.1899736277256693	0.11447874915983254	0.1899736277256693	1	Lee_Leeds	1.00426630535532	0.6366417016000349
S2_BCN12_AS_NR	s__Raoultibacter_massiliensis	0.06839111109782701	0.0	0.9914012814622465	Lee_PRIMM_NL	0.0703368793612615	0.1387279904590885	0.0703368793612615	0	Lee_Manchester	0.1850310496433467	0.35482941319076505
S2_BCN12_AS_NR	s__Romboutsia_timonensis	0.09680181215229115	50.582137519202455	0.9914012814622465	Lee_PRIMM_NL	0.11383060201190068	-0.017028789859609518	-0.11383060201190068	1	Lee_PRIMM_NL	0.8921274692232735	0.2525352892059034
S2_BCN12_AS_NR	s__Roseburia_faecis	0.24073105151469615	0.0	0.9914012814622465	Spencer_US	0.05386021522436024	0.1868708362903359	-0.05386021522436024	0	Lee_Barcelona	-0.7264886426462618	0.24239309058875977
S2_BCN12_AS_NR	s__Roseburia_hominis	0.18138394094574145	0.0	0.9914012814622465	Matson_US	0.051918172776661886	0.23330211372240334	0.051918172776661886	0	Lee_PRIMM_UK	0.4606951445268849	0.22882992007979208
S2_BCN12_AS_NR	s__Roseburia_sp_AF02_12	-0.055402529958486484	65.68036695420001	0.9914012814622465	Lee_Leeds	0.13950494999143037	0.0841024200329439	0.13950494999143037	1	Lee_Leeds	-1.6384057015739972	0.3208562345882684
S2_BCN12_AS_NR	s__Rothia_mucilaginosa	-0.11665621826752363	0.0	0.9914012814622465	Lee_Manchester	0.050178433947609416	-0.16683465221513305	-0.050178433947609416	0	Lee_Manchester	0.4379940070008758	0.27749842340533665
S2_BCN12_AS_NR	s__Ruminococcus_SGB4421	0.037969734129474214	0.0	0.9914012814622465	Gopalakrishnan_US	0.08576898435763551	0.12373871848710973	0.08576898435763551	1	Gopalakrishnan_US	-0.5111720744616471	0.35699262255832015
S2_BCN12_AS_NR	s__Ruminococcus_sp_AF46_10NS	0.09940164767386331	0.0	0.9914012814622465	Lee_Manchester	0.06756407915877585	0.031837568515087455	-0.06756407915877585	0	Lee_Manchester	0.4937656834993462	0.8497373986396138
S2_BCN12_AS_NR	s__Scardovia_wiggsiae	-0.31626741251489826	0.0	0.9914012814622465	Lee_PRIMM_NL	0.10214904634184452	-0.4184164588567428	-0.10214904634184452	0	Lee_Manchester	-0.7914727591774435	0.4923649918499772
S2_BCN12_AS_NR	s__Solobacterium_SGB6829	0.0483002637503628	50.82732557634141	0.9914012814622465	Frankel_US	0.17804393333282434	0.22634419708318715	0.17804393333282434	1	Lee_Leeds	0.9139067574012734	0.49821655573693857
S2_BCN12_AS_NR	s__Streptococcus_SGB14888	-0.3176806479609405	0.0	0.9914012814622465	Frankel_US	0.09272648621949686	-0.41040713418043734	-0.09272648621949686	0	Matson_US	-0.5231953149153465	0.2331409868363376
S2_BCN12_AS_NR	s__Streptococcus_oralis	-0.18686618239387268	0.0	0.9914012814622465	Lee_PRIMM_NL	0.08004883021077422	-0.2669150126046469	-0.08004883021077422	0	Lee_PRIMM_UK	-0.36508924213184196	0.3824420038752095
S2_BCN12_AS_NR	s__Streptococcus_parasanguinis	-0.15588814604061318	0.0	0.9914012814622465	Frankel_US	0.03993699287264395	-0.11595115316796924	0.03993699287264395	0	Lee_Barcelona	0.6101687855243846	0.25586389529708964
S2_BCN12_AS_NR	s__Sutterella_wadsworthensis	-0.19206605487730227	0.0	0.9914012814622465	Lee_PRIMM_NL	0.031811841328706236	-0.16025421354859604	0.031811841328706236	0	Lee_Barcelona	-0.8606833281263702	0.37432061234311365
S2_BCN12_AS_NR	s__Veillonella_atypica	-0.382232005002668	0.0	0.9914012814622465	Matson_US	0.07187109073510112	-0.45410309573776914	-0.07187109073510112	0	Gopalakrishnan_US	-0.6519586337574625	0.31511846250882797
S2_BCN12_AS_NR	s__Veillonella_dispar	-0.22311085101245837	40.09574207315955	0.9914012814622465	Matson_US	0.13486536528609233	-0.3579762162985507	-0.13486536528609233	0	Lee_PRIMM_UK	-0.7614714334743955	0.2668750908097383
S2_BCN12_AS_NR	s__Veillonella_parvula	-0.3213826237659579	14.436139226912772	0.9914012814622465	Matson_US	0.10340180988477171	-0.4247844336507296	-0.10340180988477171	0	Gopalakrishnan_US	-0.7735023700483389	0.20261972792698138
S2_BCN12_AS_NR	s__Veillonella_rogosae	-0.32145734742344345	0.0	0.9914012814622465	Lee_PRIMM_UK	0.08976448669089818	-0.23169286073254527	0.08976448669089818	0	Lee_PRIMM_UK	-0.4711123634963726	0.4387590667996107
S2_BCN12_AS_NR	s__Vescimonas_coprocola	-0.16646624486379133	51.94417397739358	0.9914012814622465	Lee_PRIMM_UK	0.12219327040756503	-0.04427297445622629	0.12219327040756503	0	Lee_Leeds	-0.9526593721123705	0.2601916275120492
S2_BCN12_AS_NR	s__Vescimonas_fastidiosa	-0.12372786951903376	0.0	0.9914012814622465	Lee_PRIMM_NL	0.06256160359662864	-0.1862894731156624	-0.06256160359662864	0	Frankel_US	-0.33363391776336143	0.5438438189696344
