scenario	model	train_domain	test_domain	train_n	test_n	train_responders	train_non_responders	test_responders	test_non_responders	selected_features	pseudocount	locked_params	roc_auc	roc_auc_ci_low	roc_auc_ci_high	roc_auc_bootstrap_valid	pr_auc	brier	balanced_accuracy	sensitivity	specificity	log_loss	train_study_family	test_study_family	same_study_family	train_country	test_country	same_country	train_macro_region	test_macro_region	same_macro_region	train_treatment_scope_group	test_treatment_scope_group	same_treatment_scope_group	known_combination_ici_fraction_difference	absolute_response_rate_difference	log_train_n	log_test_n	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance
PRIMARY	elastic_net	Lee_Leeds	Lee_Barcelona	18	12	10	8	6	6	500	1.0661815682701918e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.7777777777777779	0.4444444444444445	1.0	500	0.775	0.2186776322585731	0.5833333333333334	0.8333333333333334	0.3333333333333333	0.6300166075370265	Lee_2022_family	Lee_2022_family	1	United_Kingdom	Spain	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.05555555555555558	2.8903717578961645	2.4849066497880004	1.900081845184206	0.5949875337870366	0.5175184809533883	0.0664525069286974
PRIMARY	elastic_net	Lee_Leeds	Lee_Manchester	18	25	10	8	12	13	500	1.0661815682701918e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.49358974358974356	0.24999999999999997	0.7533653846153845	500	0.6277324668085539	0.2749481376724133	0.41025641025641024	0.6666666666666666	0.15384615384615385	0.7439721520066227	Lee_2022_family	Lee_2022_family	1	United_Kingdom	United_Kingdom	1	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.0755555555555556	2.8903717578961645	3.2188758248682006	1.5545824937549038	0.47164689705627394	0.4330400701509546	0.05555555555555555
PRIMARY	elastic_net	Lee_Leeds	Lee_PRIMM_NL	18	55	10	8	33	22	500	1.0661815682701918e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.45041322314049587	0.30086088154269974	0.6172176308539943	500	0.6195960077734268	0.2531613857464658	0.44696969696969696	0.6666666666666666	0.22727272727272727	0.6998376464127706	Lee_2022_family	Lee_2022_family	1	United_Kingdom	Netherlands	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.0444444444444444	2.8903717578961645	4.007333185232471	1.5566246650097413	0.4778931549680615	0.43468033313280113	0.058371927895737426
PRIMARY	elastic_net	Lee_Leeds	Lee_PRIMM_UK	18	54	10	8	33	21	500	1.0661815682701918e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5266955266955268	0.3650793650793651	0.70494227994228	500	0.6546598556546986	0.2451547780795451	0.5367965367965368	0.7878787878787878	0.2857142857142857	0.6835968987195182	Lee_2022_family	Lee_2022_family	1	United_Kingdom	United_Kingdom	1	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.05555555555555558	2.8903717578961645	3.9889840465642745	1.4223043524177503	0.4473893542658809	0.4113155539569585	0.05030654237003443
PRIMARY	elastic_net	Lee_Leeds	Matson_US	18	38	10	8	14	24	500	1.0661815682701918e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.34523809523809523	0.17559523809523808	0.5253720238095236	500	0.2969085779915614	0.28627338304746847	0.43154761904761907	0.5714285714285714	0.2916666666666667	0.7687155819707877	Lee_2022_family	Matson_2018	0	United_Kingdom	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_only	0	nan	0.18713450292397665	2.8903717578961645	3.6375861597263857	1.9771596498918715	0.5811823747640369	0.49020061089929295	0.07011311347150946
PRIMARY	elastic_net	Lee_Leeds	Spencer_US	18	97	10	8	71	26	500	1.0661815682701918e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4756229685807151	0.3445287107258938	0.6062296858071505	500	0.7140041738463052	0.2391202316727982	0.5148970747562297	0.7605633802816901	0.2692307692307692	0.6712219273693655	Lee_2022_family	Spencer_2021	0	United_Kingdom	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_based_unspecified_mix	0	nan	0.1764032073310423	2.8903717578961645	4.574710978503383	1.8343999907642503	0.5462421632104126	0.47054562970191266	0.0711516832773583
PRIMARY	elastic_net	Lee_Manchester	Frankel_US	25	39	12	13	24	15	500	5.636676092699121e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4388888888888889	0.2596527777777778	0.6153472222222222	500	0.5795666148264343	0.2984657004641396	0.4375	0.20833333333333334	0.6666666666666666	0.8011850470345734	Lee_2022_family	Frankel_2017	0	United_Kingdom	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.13538461538461544	3.2188758248682006	3.6635616461296463	2.0576633286376182	0.5284366611922444	0.4800730908319456	0.07087714402000117
PRIMARY	elastic_net	Lee_Manchester	Gopalakrishnan_US	25	25	12	13	14	11	500	5.636676092699121e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.512987012987013	0.2597402597402597	0.7402597402597403	500	0.6063235056868597	0.2914243528824771	0.5	0.0	1.0	0.7863027068897286	Lee_2022_family	Gopalakrishnan_2018	0	United_Kingdom	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_only	0	nan	0.08000000000000007	3.2188758248682006	3.2188758248682006	2.156186223234672	0.7155554538377515	0.6032222163102883	0.08168707482993197
PRIMARY	elastic_net	Lee_Manchester	Lee_Barcelona	25	12	12	13	6	6	500	5.636676092699121e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.2222222222222222	0.0	0.5423611111111105	500	0.40046296296296297	0.2901806203189555	0.4166666666666667	0.0	0.8333333333333334	0.776692342514692	Lee_2022_family	Lee_2022_family	1	United_Kingdom	Spain	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.020000000000000018	3.2188758248682006	2.4849066497880004	2.2125872071199106	0.699237363642387	0.5968096276682744	0.0739697656840514
PRIMARY	elastic_net	Lee_Manchester	Lee_Leeds	25	18	12	13	10	8	500	5.636676092699121e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.35	0.11249999999999999	0.65	500	0.5135513995808114	0.269129582711765	0.425	0.6	0.25	0.7322095519614416	Lee_2022_family	Lee_2022_family	1	United_Kingdom	United_Kingdom	1	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.0755555555555556	3.2188758248682006	2.8903717578961645	1.5545824937549038	0.47164689705627394	0.4330400701509546	0.05555555555555555
PRIMARY	elastic_net	Lee_Manchester	Lee_PRIMM_NL	25	55	12	13	33	22	500	5.636676092699121e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.5440771349862259	0.39256198347107435	0.6984159779614325	500	0.6238465674203959	0.25395432494236314	0.5378787878787878	0.6666666666666666	0.4090909090909091	0.7037667629440734	Lee_2022_family	Lee_2022_family	1	United_Kingdom	Netherlands	0	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.12	3.2188758248682006	4.007333185232471	1.023240361097451	0.37225480323409776	0.3551927713469969	0.039582766439909295
PRIMARY	elastic_net	Lee_Manchester	Lee_PRIMM_UK	25	54	12	13	33	21	500	5.636676092699121e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.6176046176046177	0.4609307359307359	0.766991341991342	500	0.7482333399752839	0.2368741051845513	0.5865800865800865	0.696969696969697	0.47619047619047616	0.6666049064308015	Lee_2022_family	Lee_2022_family	1	United_Kingdom	United_Kingdom	1	Europe	Europe	1	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.13111111111111118	3.2188758248682006	3.9889840465642745	0.9138188960887204	0.3284935922301878	0.31756491921131447	0.036730326698580666
PRIMARY	elastic_net	Lee_Manchester	Matson_US	25	38	12	13	14	24	500	5.636676092699121e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.4166666666666667	0.21726190476190474	0.6176339285714285	500	0.3533549720906588	0.2463138239205845	0.5089285714285714	0.14285714285714285	0.875	0.6864402982159895	Lee_2022_family	Matson_2018	0	United_Kingdom	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_only	0	nan	0.11157894736842106	3.2188758248682006	3.6375861597263857	2.0526455035056514	0.652012344550797	0.5576993360744268	0.06928177586824205
PRIMARY	elastic_net	Lee_Manchester	Spencer_US	25	97	12	13	71	26	500	5.636676092699121e-08	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.45828819068255683	0.32907638136511375	0.5948266522210184	500	0.7150204510610499	0.3211997660271553	0.4723726977248104	0.09859154929577464	0.8461538461538461	0.8425205594062427	Lee_2022_family	Spencer_2021	0	United_Kingdom	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_based_unspecified_mix	0	nan	0.2519587628865979	3.2188758248682006	4.574710978503383	1.9981247694722843	0.6634308562491238	0.5626092193735298	0.06764326624120438
PRIMARY	elastic_net	Lee_PRIMM_NL	Frankel_US	55	39	33	22	24	15	462	2.1269490829764473e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.46388888888888885	0.27631944444444445	0.6765972222222221	500	0.5810940493543192	0.3292330876750769	0.5	0.3333333333333333	0.6666666666666666	0.8961147113570314	Lee_2022_family	Frankel_2017	0	Netherlands	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	mixed_ICI_including_combination	1	nan	0.015384615384615441	4.007333185232471	3.6635616461296463	2.1537283003203482	0.5362672870971259	0.49418965792965314	0.07240103811532383
PRIMARY	elastic_net	Lee_PRIMM_NL	Gopalakrishnan_US	55	25	33	22	14	11	462	2.1269490829764473e-07	"{""C"": 0.2, ""l1_ratio"": 0.75}"	0.44805194805194803	0.23035714285714287	0.6787337662337661	500	0.6166875459011009	0.30525455502381094	0.4253246753246753	0.21428571428571427	0.6363636363636364	0.8321047322818965	Lee_2022_family	Gopalakrishnan_2018	0	Netherlands	United_States	0	Europe	North_America	0	mixed_ICI_including_combination	anti_PD1_only	0	0.22	0.039999999999999925	4.007333185232471	3.2188758248682006	2.1884513111812445	0.7745689314443972	0.6511689475893659	0.07338528138528139
