scenario	model	domain_a	domain_b	auc_a_to_b	auc_b_to_a	reciprocal_mean_auc	reciprocal_min_auc	reciprocal_max_auc	absolute_directional_asymmetry	train_size_difference_absolute	response_rate_difference_absolute	same_study_family	same_country	same_treatment_scope_group	aitchison_centroid_distance	bray_curtis_centroid_distance	jensen_shannon_distance	prevalence_l1_distance
PRIMARY	random_forest	Gopalakrishnan_US	Spencer_US	0.5736728060671722	0.5974025974025974	0.5855377017348848	0.5736728060671722	0.5974025974025974	0.023729791335425188	72	0.17195876288659784	0	1	0	0.8663222398807107	0.3242323634033718	0.32656385568073787	0.033931879280921985
PRIMARY	random_forest	Lee_Barcelona	Lee_Leeds	0.43749999999999994	0.3333333333333333	0.38541666666666663	0.3333333333333333	0.43749999999999994	0.10416666666666663	6	0.05555555555555558	1	0	1	1.900081845184206	0.5949875337870366	0.5175184809533883	0.0664525069286974
PRIMARY	random_forest	Lee_Barcelona	Lee_Manchester	0.22756410256410253	0.3055555555555555	0.266559829059829	0.22756410256410253	0.3055555555555555	0.07799145299145299	13	0.020000000000000018	1	0	1	2.2125872071199106	0.699237363642387	0.5968096276682744	0.0739697656840514
PRIMARY	random_forest	Lee_Barcelona	Lee_PRIMM_NL	0.5075757575757576	0.8611111111111112	0.6843434343434344	0.5075757575757576	0.8611111111111112	0.3535353535353536	43	0.09999999999999998	1	0	1	2.2654600312628763	0.7635200611439845	0.6434861265694625	0.0709798666941524
PRIMARY	random_forest	Lee_Barcelona	Lee_PRIMM_UK	0.4083694083694084	0.4444444444444445	0.42640692640692646	0.4083694083694084	0.4444444444444445	0.03607503607503609	42	0.11111111111111116	1	0	1	2.1906652798974484	0.6864949908918968	0.594816419606938	0.07321323591164862
PRIMARY	random_forest	Lee_Barcelona	Matson_US	0.2663690476190476	0.13888888888888887	0.20262896825396826	0.13888888888888887	0.2663690476190476	0.12748015873015875	26	0.13157894736842107	0	0	0	1.9036925455120652	0.5117333886100498	0.4641582272842964	0.07052750924931375
PRIMARY	random_forest	Lee_Barcelona	Spencer_US	0.38136511375948	0.6944444444444444	0.5379047791019622	0.38136511375948	0.6944444444444444	0.3130793306849644	85	0.2319587628865979	0	0	0	1.391846202645219	0.4289819163420409	0.40151921943678875	0.059569784385690126
PRIMARY	random_forest	Lee_Leeds	Lee_Manchester	0.5705128205128205	0.175	0.37275641025641026	0.175	0.5705128205128205	0.3955128205128205	7	0.0755555555555556	1	1	1	1.5545824937549038	0.47164689705627394	0.4330400701509546	0.05555555555555555
PRIMARY	random_forest	Lee_Leeds	Lee_PRIMM_NL	0.522038567493113	0.6000000000000001	0.5610192837465565	0.522038567493113	0.6000000000000001	0.07796143250688714	37	0.0444444444444444	1	0	1	1.5566246650097413	0.4778931549680615	0.43468033313280113	0.058371927895737426
PRIMARY	random_forest	Lee_Leeds	Lee_PRIMM_UK	0.5642135642135642	0.3875	0.47585678210678206	0.3875	0.5642135642135642	0.17671356421356416	36	0.05555555555555558	1	1	1	1.4223043524177503	0.4473893542658809	0.4113155539569585	0.05030654237003443
PRIMARY	random_forest	Lee_Leeds	Matson_US	0.5297619047619048	0.48750000000000004	0.5086309523809525	0.48750000000000004	0.5297619047619048	0.04226190476190472	20	0.18713450292397665	0	0	0	1.9771596498918715	0.5811823747640369	0.49020061089929295	0.07011311347150946
PRIMARY	random_forest	Lee_Leeds	Spencer_US	0.46153846153846156	0.5375	0.49951923076923077	0.46153846153846156	0.5375	0.07596153846153841	79	0.1764032073310423	0	0	0	1.8343999907642503	0.5462421632104126	0.47054562970191266	0.0711516832773583
PRIMARY	random_forest	Lee_Manchester	Lee_PRIMM_NL	0.49311294765840225	0.34615384615384615	0.4196333969061242	0.34615384615384615	0.49311294765840225	0.1469591015045561	30	0.12	1	0	1	1.023240361097451	0.37225480323409776	0.3551927713469969	0.039582766439909295
PRIMARY	random_forest	Lee_Manchester	Lee_PRIMM_UK	0.5901875901875901	0.41666666666666663	0.5034271284271283	0.41666666666666663	0.5901875901875901	0.17352092352092352	29	0.13111111111111118	1	1	1	0.9138188960887204	0.3284935922301878	0.31756491921131447	0.036730326698580666
PRIMARY	random_forest	Lee_Manchester	Matson_US	0.5625	0.4807692307692307	0.5216346153846154	0.4807692307692307	0.5625	0.08173076923076927	13	0.11157894736842106	0	0	0	2.0526455035056514	0.652012344550797	0.5576993360744268	0.06928177586824205
PRIMARY	random_forest	Lee_Manchester	Spencer_US	0.5390032502708559	0.36538461538461536	0.4521939328277357	0.36538461538461536	0.5390032502708559	0.17361863488624057	72	0.2519587628865979	0	0	0	1.9981247694722843	0.6634308562491238	0.5626092193735298	0.06764326624120438
PRIMARY	random_forest	Lee_PRIMM_NL	Lee_PRIMM_UK	0.7142857142857143	0.6046831955922864	0.6594844549390004	0.6046831955922864	0.7142857142857143	0.10960251869342785	1	0.011111111111111183	1	0	1	0.979761610673823	0.2947752855170625	0.3098038865253837	0.039137100406941676
PRIMARY	random_forest	Lee_PRIMM_NL	Matson_US	0.44047619047619047	0.4297520661157025	0.4351141282959465	0.4297520661157025	0.44047619047619047	0.010724124360487974	17	0.23157894736842105	0	0	0	2.151580063750936	0.7076207020813287	0.5984839380121251	0.06549751000878819
PRIMARY	random_forest	Lee_PRIMM_NL	Spencer_US	0.44582881906825567	0.5371900826446281	0.4915094508564419	0.44582881906825567	0.5371900826446281	0.09136126357637242	42	0.1319587628865979	0	0	0	2.056853303314237	0.710936693632596	0.6077592582922652	0.059407540585743816
