scenario	model	predictor	statistic_type	prespecified_direction	observed_statistic	qap_p_two_sided	qap_p_prespecified_direction	permutations
S2_BCN12_AS_NR	ridge	aitchison_centroid_distance	spearman_rho	negative	-0.10402644452081454	0.5029497050294971	0.24527547245275472	10000
S2_BCN12_AS_NR	ridge	bray_curtis_centroid_distance	spearman_rho	negative	0.034578982022225	0.8271172882711729	0.5669433056694331	10000
S2_BCN12_AS_NR	ridge	jensen_shannon_distance	spearman_rho	negative	0.011322606206347162	0.9413058694130587	0.5168483151684832	10000
S2_BCN12_AS_NR	ridge	prevalence_l1_distance	spearman_rho	negative	-0.16015697812898444	0.30886911308869114	0.15448455154484553	10000
S2_BCN12_AS_NR	ridge	same_study_family	mean_auc_relation_1_minus_0	positive	-0.01598178080578605	0.7323267673232676	0.6014398560143985	10000
S2_BCN12_AS_NR	ridge	same_country	mean_auc_relation_1_minus_0	positive	-0.008555092501066397	0.8353164683531646	0.5638436156384361	10000
S2_BCN12_AS_NR	ridge	same_macro_region	mean_auc_relation_1_minus_0	positive	-0.013326271233301434	0.7143285671432856	0.6215378462153784	10000
S2_BCN12_AS_NR	ridge	same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	-0.02179572461522694	0.5372462753724627	0.6997300269973002	10000
S3_EXCLUDE_LEE_SITES	elastic_net	aitchison_centroid_distance	spearman_rho	negative	-0.08353611830912808	0.5915408459154085	0.28957104289571045	10000
S3_EXCLUDE_LEE_SITES	elastic_net	bray_curtis_centroid_distance	spearman_rho	negative	-0.00437956348416788	0.9775022497750225	0.49665033496650335	10000
S3_EXCLUDE_LEE_SITES	elastic_net	jensen_shannon_distance	spearman_rho	negative	-0.0008110302748459035	0.9982001799820018	0.5007499250074993	10000
S3_EXCLUDE_LEE_SITES	elastic_net	prevalence_l1_distance	spearman_rho	negative	-0.05952962217368932	0.6930306969303069	0.34806519348065196	10000
S3_EXCLUDE_LEE_SITES	elastic_net	same_study_family	mean_auc_relation_1_minus_0	positive	0.07600987582981811	0.19808019198080193	0.08239176082391761	10000
S3_EXCLUDE_LEE_SITES	elastic_net	same_country	mean_auc_relation_1_minus_0	positive	0.03616639632850527	0.393960603939606	0.1982801719828017	10000
S3_EXCLUDE_LEE_SITES	elastic_net	same_macro_region	mean_auc_relation_1_minus_0	positive	0.04628384068805014	0.2283771622837716	0.14238576142385762	10000
S3_EXCLUDE_LEE_SITES	elastic_net	same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	5.470148715969181e-05	1.0	0.5170482951704829	10000
S3_EXCLUDE_LEE_SITES	random_forest	aitchison_centroid_distance	spearman_rho	negative	0.07704787611036085	0.688931106889311	0.656034396560344	10000
S3_EXCLUDE_LEE_SITES	random_forest	bray_curtis_centroid_distance	spearman_rho	negative	0.09651260270666252	0.5718428157184282	0.7261273872612739	10000
S3_EXCLUDE_LEE_SITES	random_forest	jensen_shannon_distance	spearman_rho	negative	0.10786702655450517	0.5474452554744526	0.7196280371962803	10000
S3_EXCLUDE_LEE_SITES	random_forest	prevalence_l1_distance	spearman_rho	negative	0.17242503643223914	0.4046595340465953	0.7949205079492051	10000
S3_EXCLUDE_LEE_SITES	random_forest	same_study_family	mean_auc_relation_1_minus_0	positive	0.04630530646855868	0.45535446455354467	0.22457754224577542	10000
S3_EXCLUDE_LEE_SITES	random_forest	same_country	mean_auc_relation_1_minus_0	positive	-0.0374635859562466	0.3554644535546445	0.841015898410159	10000
S3_EXCLUDE_LEE_SITES	random_forest	same_macro_region	mean_auc_relation_1_minus_0	positive	0.0048126098048738575	0.7987201279872013	0.46425357464253575	10000
S3_EXCLUDE_LEE_SITES	random_forest	same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	0.015127844509818189	0.6823317668233176	0.3010698930106989	10000
S3_EXCLUDE_LEE_SITES	ridge	aitchison_centroid_distance	spearman_rho	negative	0.11451747480824158	0.5489451054894511	0.7309269073092691	10000
S3_EXCLUDE_LEE_SITES	ridge	bray_curtis_centroid_distance	spearman_rho	negative	0.16090840652942726	0.40105989401059894	0.7949205079492051	10000
S3_EXCLUDE_LEE_SITES	ridge	jensen_shannon_distance	spearman_rho	negative	0.1740470969819309	0.3645635436456354	0.8102189781021898	10000
S3_EXCLUDE_LEE_SITES	ridge	prevalence_l1_distance	spearman_rho	negative	0.028710471729544988	0.8811118888111189	0.5688431156884312	10000
S3_EXCLUDE_LEE_SITES	ridge	same_study_family	mean_auc_relation_1_minus_0	positive	0.052300736531690484	0.398960103989601	0.19418058194180582	10000
S3_EXCLUDE_LEE_SITES	ridge	same_country	mean_auc_relation_1_minus_0	positive	-0.03311482622919426	0.38316168383161686	0.82001799820018	10000
S3_EXCLUDE_LEE_SITES	ridge	same_macro_region	mean_auc_relation_1_minus_0	positive	-0.010197736284083936	0.796020397960204	0.6235376462353764	10000
S3_EXCLUDE_LEE_SITES	ridge	same_treatment_scope_group	mean_auc_relation_1_minus_0	positive	0.008675573100760503	0.8874112588741125	0.44375562443755623	10000
