domain_a	domain_b	observed_auc_a_to_b	observed_auc_b_to_a	observed_signed_delta_a_to_b_minus_b_to_a	observed_absolute_delta	bootstrap_mean_signed_delta	bootstrap_median_signed_delta	percentile_2_5	percentile_97_5	bootstrap_probability_delta_positive	bootstrap_probability_delta_negative	direction_stability_probability	percentile_interval_excludes_zero	bootstrap_repetitions
Gopalakrishnan_US	Matson_US	0.5535714285714286	0.6688311688311688	-0.11525974025974017	0.11525974025974017	-0.11889177489177488	-0.1194534632034632	-0.41451569264069266	0.18700622294372293	0.218	0.781	0.781	False	1000
Gopalakrishnan_US	Spencer_US	0.47887323943661975	0.4155844155844156	0.06328882385220413	0.06328882385220413	0.06009003672383954	0.061653135596797554	-0.21341528190119743	0.3280824808993822	0.678	0.322	0.678	False	1000
Lee_Barcelona	Lee_Leeds	0.6875	0.7777777777777779	-0.0902777777777779	0.0902777777777779	-0.09455972222222223	-0.0986111111111112	-0.475	0.3445833333333332	0.307	0.689	0.689	False	1000
Lee_Barcelona	Lee_Manchester	0.5641025641025641	0.2222222222222222	0.3418803418803419	0.3418803418803419	0.34602991452991455	0.3621794871794872	-0.03429487179487178	0.6709935897435897	0.96	0.04	0.96	False	1000
Lee_Barcelona	Lee_PRIMM_NL	0.4380165289256199	0.5555555555555556	-0.1175390266299357	0.1175390266299357	-0.11676170798898071	-0.11065197428833795	-0.5152892561983471	0.2764577594123048	0.289	0.71	0.71	False	1000
Lee_Barcelona	Lee_PRIMM_UK	0.5512265512265513	0.41666666666666663	0.13455988455988466	0.13455988455988466	0.13056204906204907	0.12842712842712845	-0.2875992063492063	0.5223935786435786	0.742	0.256	0.742	False	1000
Lee_Barcelona	Matson_US	0.45535714285714285	0.3611111111111111	0.09424603174603174	0.09424603174603174	0.10307242063492063	0.10912698412698414	-0.30262896825396823	0.48020833333333324	0.708	0.291	0.708	False	1000
Lee_Barcelona	Spencer_US	0.4875406283856988	0.75	-0.2624593716143012	0.2624593716143012	-0.26338885879378837	-0.2777025400264837	-0.5428245756590827	0.12568466353677607	0.069	0.931	0.931	False	1000
Lee_Leeds	Lee_Manchester	0.49358974358974356	0.35	0.14358974358974358	0.14358974358974358	0.1498846153846154	0.15336538461538463	-0.2417708333333333	0.5130448717948716	0.788	0.211	0.788	False	1000
Lee_Leeds	Lee_PRIMM_NL	0.45041322314049587	0.4875	-0.03708677685950412	0.03708677685950412	-0.045810089531680434	-0.04190771349862257	-0.3804218319559229	0.2622512052341596	0.395	0.605	0.605	False	1000
Lee_Leeds	Lee_PRIMM_UK	0.5266955266955268	0.7375	-0.21080447330447327	0.21080447330447327	-0.2148160533910534	-0.21900252525252528	-0.4955145202020202	0.08736336580086576	0.091	0.909	0.909	False	1000
Lee_Leeds	Matson_US	0.34523809523809523	0.7375	-0.3922619047619048	0.3922619047619048	-0.39254880952380955	-0.3994047619047619	-0.6673214285714285	-0.07855654761904768	0.009	0.991	0.991	True	1000
Lee_Leeds	Spencer_US	0.4756229685807151	0.55	-0.07437703141928492	0.07437703141928492	-0.07096799837486457	-0.0725622968580715	-0.37302275189599127	0.2493665357529794	0.339	0.661	0.661	False	1000
Lee_Manchester	Lee_PRIMM_NL	0.5440771349862259	0.3141025641025641	0.2299745708836618	0.2299745708836618	0.22777256834075013	0.22462386098749737	-0.04762396694214881	0.5049652998516634	0.947	0.053	0.947	False	1000
Lee_Manchester	Lee_PRIMM_UK	0.6176046176046177	0.3333333333333333	0.2842712842712844	0.2842712842712844	0.29296722721722723	0.29863192363192365	0.02690573315573318	0.5589452214452214	0.984	0.016	0.984	True	1000
Lee_Manchester	Matson_US	0.4166666666666667	0.34615384615384615	0.07051282051282054	0.07051282051282054	0.0686698717948718	0.07177197802197804	-0.2257497710622711	0.3389995421245419	0.686	0.314	0.686	False	1000
Lee_Manchester	Spencer_US	0.45828819068255683	0.3269230769230769	0.1313651137594799	0.1313651137594799	0.13231310942578547	0.1362856626941134	-0.1386895088479595	0.37986186348862405	0.844	0.156	0.844	False	1000
Lee_PRIMM_NL	Lee_PRIMM_UK	0.56998556998557	0.6597796143250688	-0.08979404433949878	0.08979404433949878	-0.09035622458349732	-0.09084349993440904	-0.3045552931916568	0.1447068083431719	0.2	0.8	0.8	False	1000
Lee_PRIMM_NL	Matson_US	0.5595238095238095	0.36914600550964183	0.1903778040141677	0.1903778040141677	0.18801564344746163	0.18681129476584019	-0.047743260527351464	0.42910271546635154	0.934	0.066	0.934	False	1000
Lee_PRIMM_NL	Spencer_US	0.5140845070422535	0.5068870523415977	0.007197454700655803	0.007197454700655803	0.009514138230527476	0.011825136024879945	-0.1897554909878853	0.21162080024115867	0.542	0.458	0.542	False	1000
Lee_PRIMM_UK	Matson_US	0.5148809523809523	0.49350649350649356	0.021374458874458768	0.021374458874458768	0.021647366522366526	0.018172799422799424	-0.24002074314574318	0.28182494588744583	0.555	0.444	0.555	False	1000
Lee_PRIMM_UK	Spencer_US	0.5471289274106175	0.4314574314574315	0.11567149595318599	0.11567149595318599	0.11195596422356985	0.11165086869312224	-0.07868379664154307	0.2972977921921584	0.881	0.119	0.881	False	1000
Matson_US	Spencer_US	0.47616468039003246	0.6041666666666666	-0.12800198627663417	0.12800198627663417	-0.1261941327451891	-0.12541112056957127	-0.3509181692720425	0.10535851325904143	0.144	0.856	0.856	False	1000
